Key,Context,Source,en-us
Studio.App.MainWindow.32BitParens,Main Window, (32bit), (32bit)
Studio.App.MainWindow.64BitParens,Main Window, (64bit), (64bit)
Studio.App.MainWindow.AboutRobloxStudio,Main Window,About Roblox Studio,About Roblox Studio
Studio.App.MainWindow.AboutToLogOutNewLine,Main Window,"Roblox Studio is about to log out.

","Roblox Studio is about to log out.

"
Studio.App.MainWindow.AmongRegisteredTrademarks,Main Window,"<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.</p><p>Contact us at <a href='https://www.roblox.com/support'>https://www.roblox.com/support</a></p></div>","<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.</p><p>Contact us at <a href='https://www.roblox.com/support'>https://www.roblox.com/support</a></p></div>"
Studio.App.MainWindow.AmongRegisteredTrademarks2,Replacement of Studio.App.MainWindow.AmongRegisteredTrademarks with only hyper link excluded,"<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.</p><p>Contact us at <a href='%1'>%2</a></p></div>","<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.</p><p>Contact us at <a href='%1'>%2</a></p></div>"
Studio.App.MainWindow.ArgumentsBreak,Main Window,Arguments:<br>,Arguments:<br>
Studio.App.MainWindow.BreakPathSpace,Main Window,<br>Path: ,<br>Path: 
Studio.App.MainWindow.BuildTypeSpace1,Main Window,Build Type: %1,Build Type: %1
Studio.App.MainWindow.Channel1,Main Window,Channel: %1,Channel: %1
Studio.App.MainWindow.ClearTerrain,Main Window,The Terrain object persists in your workspace and can't be removed. Deleting it will clear existing terrain.,The Terrain object persists in your workspace and can't be removed. Deleting it will clear existing terrain.
Studio.App.MainWindow.ClearTerrainTitle,Main Window,No terrain to clear,No terrain to clear
Studio.App.MainWindow.CloseFile,Main Window,Close File,Close File
Studio.App.MainWindow.CloseFileStatusTip,Main Window,Close the open file,Close the open file
Studio.App.MainWindow.ClosePlace,Main Window,Close Place,Close Place
Studio.App.MainWindow.ClosePlaceStatusTip,Main Window,Close the open place,Close the open place
Studio.App.MainWindow.CloseStudio,Main Window,Close Studio,Close Studio
Studio.App.MainWindow.CloseTab,Main Window,Close Tab,Close Tab
Studio.App.MainWindow.CloseTabStatusTip,Main Window,Close the active tab,Close the active tab
