Key,Context,Source,en-us
Studio.App.Materials.Concrete,,Concrete,Concrete
Studio.App.Materials.Fabric,,Fabric,Fabric
Studio.App.Materials.Foil,,Foil,Foil
Studio.App.Materials.ForceField,,Force Field,Force Field
Studio.App.Materials.Glass,,Glass,Glass
Studio.App.Materials.Granite,,Granite,Granite
Studio.App.Materials.Grass,,Grass,Grass
Studio.App.Materials.Ice,,Ice,Ice
Studio.App.Materials.Marble,,Marble,Marble
Studio.App.Materials.Metal,,Metal,Metal
Studio.App.Materials.Neon,,Neon,Neon
Studio.App.Materials.Pebble,,Pebble,Pebble
Studio.App.Materials.Plastic,,Plastic,Plastic
Studio.App.Materials.Sand,,Sand,Sand
Studio.App.Materials.Slate,,Slate,Slate
Studio.App.Materials.SmoothPlastic,,Smooth Plastic,Smooth Plastic
Studio.App.Materials.Wood,,Wood,Wood
