Key,Context,Source,en-us
Studio.App.NamedViewCmd.ADDSNIPPET,,Create New Snippet,Create New Snippet
Studio.App.NamedViewCmd.ADDSNIPPETTooltip,,Create new snippet in selected pack,Create new snippet in selected pack
Studio.App.NamedViewCmd.IMPORTSNIPPETPACK,,Import Snippet Pack...,Import Snippet Pack...
Studio.App.NamedViewCmd.IMPORTSNIPPETPACKTooltip,,Import snippet pack from json file as user snippet pack.,Import snippet pack from json file as user snippet pack.
Studio.App.NamedViewCmd.NoProxyModelError,,ScriptingAnalysisProxyModel cannot be null,ScriptingAnalysisProxyModel cannot be null
Studio.App.NamedViewCmd.SNIPPETADDUSERPACK,,Create New Snippet Pack,Create New Snippet Pack
Studio.App.NamedViewCmd.SNIPPETADDUSERPACKTooltip,,Create new snippet pack.,Create new snippet pack.
Studio.App.NamedViewCmd.SNIPPETDELETE,,Delete Snippet,Delete Snippet
Studio.App.NamedViewCmd.SNIPPETDELETEPACK,,Delete Snippet Pack,Delete Snippet Pack
Studio.App.NamedViewCmd.SNIPPETDELETEPACKTooltip,,Delete selected snippet pack.,Delete selected snippet pack.
Studio.App.NamedViewCmd.SNIPPETDELETETooltip,,Delete selected snippet from pack.,Delete selected snippet from pack.
Studio.App.NamedViewCmd.SNIPPETEXPORTPACK,,Export Snippet Pack...,Export Snippet Pack...
Studio.App.NamedViewCmd.SNIPPETEXPORTPACKTooltip,,Export snippet pack to file.,Export snippet pack to file.
Studio.App.NamedViewCmd.TOGGLEDISPLAYERRORSTooltip,,Display errors in the Script Analysis widget,Display errors in the Script Analysis widget
Studio.App.NamedViewCmd.TOGGLEDISPLAYHINTSTooltip,,Display hints in the Script Analysis widget,Display hints in the Script Analysis widget
Studio.App.NamedViewCmd.TOGGLEDISPLAYINFORMATIONTooltip,,Display information in the Script Analysis widget,Display information in the Script Analysis widget
Studio.App.NamedViewCmd.TOGGLEDISPLAYONLYCURRENTSCRIPT,,Display only current script,Display only current script
Studio.App.NamedViewCmd.TOGGLEDISPLAYONLYCURRENTSCRIPTTooltip,,Display only the current script in the Script Analysis widget,Display only the current script in the Script Analysis widget
Studio.App.NamedViewCmd.TOGGLEDISPLAYWARNINGSTooltip,,Display warnings in the Script Analysis widget,Display warnings in the Script Analysis widget
Studio.App.NamedViewCmd.TOGGLESNIPPETSETTING,,Toggle Snippet Setting,Toggle Snippet Setting
Studio.App.NamedViewCmd.TOGGLESNIPPETSETTINGTooltip,,Toggle snippet or snippet pack in autocomplete menu,Toggle snippet or snippet pack in autocomplete menu
