Key,Context,Source,en-us
Studio.App.RBXMainWindow.15StudGrid,,1/5 Stud Grid,1/5 Stud Grid
Studio.App.RBXMainWindow.3DGrid,,3D Grid,3D Grid
Studio.App.RBXMainWindow.AboutRobloxStudio,,About Roblox Studio,About Roblox Studio
Studio.App.RBXMainWindow.ActiveInstancesInOutputWindow,,Display active Studio instances in Output Window,Display active Studio instances in Output Window
Studio.App.RBXMainWindow.AddNewlineAbove,,Insert Newline Above,Insert Newline Above
Studio.App.RBXMainWindow.AddNewlineAboveToolTip,,Insert a newline above the current line,Insert a newline above the current line
Studio.App.RBXMainWindow.AddNewlineBelow,,Insert Newline Below,Insert Newline Below
Studio.App.RBXMainWindow.AddNewlineBelowToolTip,,Insert a newline below the current line,Insert a newline below the current line
Studio.App.RBXMainWindow.AddRemoveAndModifyTerrain,,"Add, remove, and modify terrain","Add, remove, and modify terrain"
Studio.App.RBXMainWindow.AddUIElements,,Add UI elements,Add UI elements
Studio.App.RBXMainWindow.AddWatch,,Add Watch,Add Watch
Studio.App.RBXMainWindow.Anchor,,Anchor,Anchor
Studio.App.RBXMainWindow.AnchorObjects,,Anchor objects,Anchor objects
Studio.App.RBXMainWindow.AnchorPreventMoving,,Anchor - prevent moving,Anchor - prevent moving
Studio.App.RBXMainWindow.ApplyEdits,,Apply Edits,Apply Edits
Studio.App.RBXMainWindow.ArrowTool,,Arrow Tool,Arrow Tool
Studio.App.RBXMainWindow.AssetManager,,Asset Manager,Asset Manager
Studio.App.RBXMainWindow.AutoCreateJoints,,Automatically create joints between parts...,Automatically create joints between parts...
Studio.App.RBXMainWindow.AutomaticallyCreateJoints,,Automatically Create Joints,Automatically Create Joints
Studio.App.RBXMainWindow.AxisWidget,,Axis Widget,Axis Widget
Studio.App.RBXMainWindow.Baseplate,,Baseplate,Baseplate
Studio.App.RBXMainWindow.BasicObjects,,Basic Objects,Basic Objects
Studio.App.RBXMainWindow.BreakAllExceptionsDebugger,,Break all exceptions into debugger,Break all exceptions into debugger
Studio.App.RBXMainWindow.BulkImport,,Bulk Import,Bulk Import
Studio.App.RBXMainWindow.CalibratePhysicalSizeScaling,,Calibrate Physical Size scaling for your screen,Calibrate Physical Size scaling for your screen
Studio.App.RBXMainWindow.CalibrateScalingElps,,Calibrate scaling...,Calibrate scaling...
Studio.App.RBXMainWindow.CancelScriptSync,,Cancel Sync,Cancel Sync
Studio.App.RBXMainWindow.CantSaveAndReloadLua,,The original plugin was a .lua file.  The plugin in its current form cannot be saved out as a single lua file.,The original plugin was a .lua file.  The plugin in its current form cannot be saved out as a single lua file.
Studio.App.RBXMainWindow.CantSaveAndReloadLuaTitle,,Cannot Save And Reload,Cannot Save And Reload
Studio.App.RBXMainWindow.CantSaveEmptyPlugin,,The plugin you are trying to save would have no contents.  You cannot save an empty plugin.,The plugin you are trying to save would have no contents.  You cannot save an empty plugin.
Studio.App.RBXMainWindow.CantSaveEmptyPluginTitle,,Cannot Save Empty Plugin,Cannot Save Empty Plugin
Studio.App.RBXMainWindow.CheckNetworkAndUserAuthentication,,"Feature not available in offline mode.
Please check internet connection and restart Roblox.","Feature not available in offline mode.
Please check internet connection and restart Roblox."
Studio.App.RBXMainWindow.ChooseReferenceObject,,Choose Reference Object,Choose Reference Object
Studio.App.RBXMainWindow.CleansUpAllClientsAndServer,,Clean up all clients and servers,Clean up all clients and servers
Studio.App.RBXMainWindow.CleansUpClientsAndServers,,Clean up all clients and servers,Clean up all clients and servers
Studio.App.RBXMainWindow.ClearOutputWindow,,Clear Output Window,Clear Output Window
Studio.App.RBXMainWindow.ClearSelection,,Clear selection,Clear selection
Studio.App.RBXMainWindow.ClearStats,,Clear Stats,Clear Stats
Studio.App.RBXMainWindow.ClearTheCurrentSelection,,Clear the current selection,Clear the current selection
Studio.App.RBXMainWindow.CloseAllScripts,,Close All Scripts,Close All Scripts
Studio.App.RBXMainWindow.CloseInstanceDefaultEditorTooltip,,Close the window.,Close the window.
Studio.App.RBXMainWindow.CodeSnippet,,Code Snippet,Code Snippet
Studio.App.RBXMainWindow.CollapseAll,,Collapse All,Collapse All
Studio.App.RBXMainWindow.CollapseAllDiffResults,,Collapse all diff results,Collapse all diff results
Studio.App.RBXMainWindow.CollapseAllFolds,,Collapse All Folds,Collapse All Folds
Studio.App.RBXMainWindow.CollapseChildren,,Collapse All,Collapse All
Studio.App.RBXMainWindow.CollapsesAllFolds,,Collapses all folds,Collapses all folds
Studio.App.RBXMainWindow.CollisionCheck,,Collision Check,Collision Check
Studio.App.RBXMainWindow.Command,,Command,Command
Studio.App.RBXMainWindow.CommandBar,,Command Bar,Command Bar
Studio.App.RBXMainWindow.CommentOutSelectedText,,Comment out selected text,Comment out selected text
Studio.App.RBXMainWindow.CommentSelection,,Comment Selection,Comment Selection
Studio.App.RBXMainWindow.ConditionElps,,Condition...,Condition...
Studio.App.RBXMainWindow.ConnectorsOnSurface,,Connectors on Surface,Connectors on Surface
Studio.App.RBXMainWindow.ConstraintCheck,,Constraint Check,Constraint Check
Studio.App.RBXMainWindow.ContextHelp,,Context Help,Context Help
Studio.App.RBXMainWindow.ConversationalAI,,Assistant,Assistant
Studio.App.RBXMainWindow.ConvertToPackageElps,,Convert to Package...,Convert to Package...
Studio.App.RBXMainWindow.CopyTheSelectionAndPutItOn,,Copy the selection and put it on the Clipboard,Copy the selection and put it on the Clipboard
Studio.App.RBXMainWindow.CreateANewDocument,,Create a new document,Create a new document
Studio.App.RBXMainWindow.CreateLocalPluginFromScriptElps,,Create a local plugin from this script...,Create a local plugin from this script...
Studio.App.RBXMainWindow.CreateNewLinkedSourceElps,,Create new LinkedSource...,Create new LinkedSource...
Studio.App.RBXMainWindow.CreatePluginFromScript,,Create a local plugin from this script,Create a local plugin from this script
Studio.App.RBXMainWindow.CustomizeElps,,Customize...,Customize...
Studio.App.RBXMainWindow.CustomizeQuickAccess,,Customize Quick Access,Customize Quick Access
Studio.App.RBXMainWindow.CustomizeShortcutsElps,,Customize Shortcuts...,Customize Shortcuts...
Studio.App.RBXMainWindow.CutSelectionToClipboard,,Cut the selection and put it on the Clipboard,Cut the selection and put it on the Clipboard
Studio.App.RBXMainWindow.DebugAsBuiltinPlugin,,Debug as Built-in Plugin,Debug as Built-in Plugin
Studio.App.RBXMainWindow.DebugAsPlugin,,Debug as Plugin,Debug as Plugin
Studio.App.RBXMainWindow.Debugger,,Debugger,Debugger
Studio.App.RBXMainWindow.DeleteBreakpoint,,Delete Breakpoint,Delete Breakpoint
Studio.App.RBXMainWindow.DeleteContextDependentBreakpoint,,Delete Contextual Breakpoint,Delete Contextual Breakpoint
Studio.App.RBXMainWindow.DeleteToStartOfLine,,Delete to start of line,Delete to start of line
Studio.App.RBXMainWindow.DeleteToStartOfLineToolTip,,Delete to the start of the current line,Delete to the start of the current line
Studio.App.RBXMainWindow.DiffNext,,Diff Next,Diff Next
Studio.App.RBXMainWindow.DiffPrevious,,Diff Previous,Diff Previous
Studio.App.RBXMainWindow.DisableBreakpoint,,Disable Breakpoint,Disable Breakpoint
Studio.App.RBXMainWindow.DisableScripts,,Disable Scripts,Disable Scripts
Studio.App.RBXMainWindow.DisableScriptsTooltip,,Disable all Script and LocalScript instances,Disable all Script and LocalScript instances
Studio.App.RBXMainWindow.DisablesRotateSnapping,,Disables the rotate grid snapping,Disables the rotate grid snapping
Studio.App.RBXMainWindow.DisablesTheDragGridSnapping,,Disable drag grid snapping,Disable drag grid snapping
Studio.App.RBXMainWindow.DownloadACopyElps,,Download a Copy...,Download a Copy...
Studio.App.RBXMainWindow.DownloadActiveDocument,,Download a copy of the active document,Download a copy of the active document
Studio.App.RBXMainWindow.Drafts,,Drafts,Drafts
Studio.App.RBXMainWindow.Drag,,Drag,Drag
Studio.App.RBXMainWindow.DraggerModeGeometric,,Geometric,Geometric
Studio.App.RBXMainWindow.DraggerModeLabel,,Mode:,Mode:
Studio.App.RBXMainWindow.DraggerModePhysical,,Physical,Physical
Studio.App.RBXMainWindow.Dropper,,Dropper,Dropper
Studio.App.RBXMainWindow.Dummy,,dummy,dummy
Studio.App.RBXMainWindow.Duplicate,,Duplicate,Duplicate
Studio.App.RBXMainWindow.DuplicatesCurrentSelection,,Duplicate current selection,Duplicate current selection
Studio.App.RBXMainWindow.EditBreakpoint,,Edit Breakpoint,Edit Breakpoint
Studio.App.RBXMainWindow.EditBreakpointCondition,,Edit Breakpoint Condition,Edit Breakpoint Condition
Studio.App.RBXMainWindow.EditBreakpointElps,,Edit Breakpoint...,Edit Breakpoint...
Studio.App.RBXMainWindow.Editor,,Editor,Editor
Studio.App.RBXMainWindow.EmulateAMobileDevice,,Emulate a mobile device ,Emulate a mobile device 
Studio.App.RBXMainWindow.EmulateDevice,,Emulate Device,Emulate Device
Studio.App.RBXMainWindow.EnableDisableAllBreakpoints,,Enable/disable all breakpoints,Enable/disable all breakpoints
Studio.App.RBXMainWindow.EnableDisableUninstallPlugins,,"Enable, Disable, and Uninstall Plugins","Enable, Disable, and Uninstall Plugins"
Studio.App.RBXMainWindow.EnableScripts,,Enable Scripts,Enable Scripts
Studio.App.RBXMainWindow.EnableScriptsTooltip,,Enable all Script and LocalScript instances,Enable all Script and LocalScript instances
Studio.App.RBXMainWindow.EnabledFullScreenMode,,Enabled Full Screen mode,Enabled Full Screen mode
