Key,Context,Source,en-us
Studio.App.RobloxCustomWidgets.BrickColor1,https://developer.roblox.com/en-us/articles/BrickColor-Codes,White,White
Studio.App.RobloxCustomWidgets.BrickColor1001,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Institutional white,Institutional white
Studio.App.RobloxCustomWidgets.BrickColor1002,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Mid gray,Mid gray
Studio.App.RobloxCustomWidgets.BrickColor1003,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Really black,Really black
Studio.App.RobloxCustomWidgets.BrickColor1004,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Really red,Really red
Studio.App.RobloxCustomWidgets.BrickColor1005,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Deep orange,Deep orange
Studio.App.RobloxCustomWidgets.BrickColor1006,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Alder,Alder
Studio.App.RobloxCustomWidgets.BrickColor1007,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Dusty Rose,Dusty Rose
Studio.App.RobloxCustomWidgets.BrickColor1008,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Olive,Olive
Studio.App.RobloxCustomWidgets.BrickColor1009,https://developer.roblox.com/en-us/articles/BrickColor-Codes,New Yeller,New Yeller
Studio.App.RobloxCustomWidgets.BrickColor101,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Medium red,Medium red
Studio.App.RobloxCustomWidgets.BrickColor1010,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Really blue,Really blue
Studio.App.RobloxCustomWidgets.BrickColor1011,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Navy blue,Navy blue
Studio.App.RobloxCustomWidgets.BrickColor1012,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Deep blue,Deep blue
Studio.App.RobloxCustomWidgets.BrickColor1013,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Cyan,Cyan
Studio.App.RobloxCustomWidgets.BrickColor1014,https://developer.roblox.com/en-us/articles/BrickColor-Codes,CGA brown,CGA brown
Studio.App.RobloxCustomWidgets.BrickColor1015,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Magenta,Magenta
Studio.App.RobloxCustomWidgets.BrickColor1016,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pink,Pink
Studio.App.RobloxCustomWidgets.BrickColor1018,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Teal,Teal
Studio.App.RobloxCustomWidgets.BrickColor1019,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Toothpaste,Toothpaste
Studio.App.RobloxCustomWidgets.BrickColor102,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Medium blue,Medium blue
Studio.App.RobloxCustomWidgets.BrickColor1020,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Lime green,Lime green
Studio.App.RobloxCustomWidgets.BrickColor1021,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Camo,Camo
Studio.App.RobloxCustomWidgets.BrickColor1022,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Grime,Grime
Studio.App.RobloxCustomWidgets.BrickColor1023,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Lavender,Lavender
Studio.App.RobloxCustomWidgets.BrickColor1024,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel light blue,Pastel light blue
Studio.App.RobloxCustomWidgets.BrickColor1025,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel orange,Pastel orange
Studio.App.RobloxCustomWidgets.BrickColor1026,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel violet,Pastel violet
Studio.App.RobloxCustomWidgets.BrickColor1027,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel blue-green,Pastel blue-green
Studio.App.RobloxCustomWidgets.BrickColor1028,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel green,Pastel green
Studio.App.RobloxCustomWidgets.BrickColor1029,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel yellow,Pastel yellow
Studio.App.RobloxCustomWidgets.BrickColor1030,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel brown,Pastel brown
Studio.App.RobloxCustomWidgets.BrickColor1031,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Royal purple,Royal purple
Studio.App.RobloxCustomWidgets.BrickColor1032,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Hot pink,Hot pink
Studio.App.RobloxCustomWidgets.BrickColor104,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Bright violet,Bright violet
Studio.App.RobloxCustomWidgets.BrickColor105,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Br. yellowish orange,Br. yellowish orange
Studio.App.RobloxCustomWidgets.BrickColor106,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Bright orange,Bright orange
Studio.App.RobloxCustomWidgets.BrickColor107,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Bright bluish green,Bright bluish green
Studio.App.RobloxCustomWidgets.BrickColor11,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Pastel Blue,Pastel Blue
Studio.App.RobloxCustomWidgets.BrickColor119,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Br. yellowish green,Br. yellowish green
Studio.App.RobloxCustomWidgets.BrickColor125,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Light orange,Light orange
Studio.App.RobloxCustomWidgets.BrickColor133,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Neon orange,Neon orange
Studio.App.RobloxCustomWidgets.BrickColor135,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Sand blue,Sand blue
Studio.App.RobloxCustomWidgets.BrickColor141,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Earth green,Earth green
Studio.App.RobloxCustomWidgets.BrickColor151,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Sand green,Sand green
Studio.App.RobloxCustomWidgets.BrickColor153,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Sand red,Sand red
Studio.App.RobloxCustomWidgets.BrickColor18,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Nougat,Nougat
Studio.App.RobloxCustomWidgets.BrickColor192,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Reddish brown,Reddish brown
Studio.App.RobloxCustomWidgets.BrickColor194,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Medium stone grey,Medium stone grey
Studio.App.RobloxCustomWidgets.BrickColor199,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Dark stone grey,Dark stone grey
Studio.App.RobloxCustomWidgets.BrickColor208,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Light stone grey,Light stone grey
Studio.App.RobloxCustomWidgets.BrickColor21,https://developer.roblox.com/en-us/articles/BrickColor-Codes,Bright red,Bright red
