Key,Context,Source,en-us
Studio.App.RobloxFindWidget.AllScripts,,All Scripts ,All Scripts 
Studio.App.RobloxFindWidget.CurrentScript,,Current Script,Current Script
Studio.App.RobloxFindWidget.FindHeader,,Matching lines: %1    Matching scripts: %2    Total scripts searched: %3,Matching lines: %1    Matching scripts: %2    Total scripts searched: %3
Studio.App.RobloxFindWidget.FindInAllScripts,,Find in All Scripts,Find in All Scripts
Studio.App.RobloxFindWidget.FindSubHeader,,"Find all ""%1"", %2","Find all ""%1"", %2"
Studio.App.RobloxFindWidget.FindWindow,,Find Results - %1 Matching lines,Find Results - %1 Matching lines
Studio.App.RobloxFindWidget.MatchLimitExceeded,,Maximum number of matches has been exceeded.,Maximum number of matches has been exceeded.
Studio.App.RobloxFindWidget.NoScript,,No script currently available.,No script currently available.
Studio.App.RobloxFindWidget.ReplaceHeader,,Lines replaced: %1    Scripts replaced: %2    Total scripts searched: %3,Lines replaced: %1    Scripts replaced: %2    Total scripts searched: %3
Studio.App.RobloxFindWidget.ReplaceSubHeader,,"Replace all ""%1"" with ""%2"", %3","Replace all ""%1"" with ""%2"", %3"
Studio.App.RobloxFindWidget.ReplaceWindow,,Replace Results - %1 Matching lines replaced,Replace Results - %1 Matching lines replaced
