Key,Context,Source,en-us
Studio.App.RobloxRibbonMainWindow.0Player,,0 Player,0 Player
Studio.App.RobloxRibbonMainWindow.16Studs,,16 Studs,16 Studs
Studio.App.RobloxRibbonMainWindow.1Player,,1 Player,1 Player
Studio.App.RobloxRibbonMainWindow.2Players,,2 Players,2 Players
Studio.App.RobloxRibbonMainWindow.2Studs,,2 Studs,2 Studs
Studio.App.RobloxRibbonMainWindow.3Players,,3 Players,3 Players
Studio.App.RobloxRibbonMainWindow.4Players,,4 Players,4 Players
Studio.App.RobloxRibbonMainWindow.4Studs,,4 Studs,4 Studs
Studio.App.RobloxRibbonMainWindow.5Players,,5 Players,5 Players
Studio.App.RobloxRibbonMainWindow.6Players,,6 Players,6 Players
Studio.App.RobloxRibbonMainWindow.7Players,,7 Players,7 Players
Studio.App.RobloxRibbonMainWindow.8Players,,8 Players,8 Players
Studio.App.RobloxRibbonMainWindow.AGUIButtonContainingAnImage,,A GUI button containing an Image,A GUI button containing an Image
Studio.App.RobloxRibbonMainWindow.AGUIButtonContainingText,,A GUI button containing text,A GUI button containing text
Studio.App.RobloxRibbonMainWindow.AGUIObjectContainingText,,A GUI object containing text,A GUI object containing text
Studio.App.RobloxRibbonMainWindow.ATextEntryBox,,A text entry box,A text entry box
Studio.App.RobloxRibbonMainWindow.Actions,,Actions,Actions
Studio.App.RobloxRibbonMainWindow.ActionsAsTools,,Actions as Tools,Actions as Tools
Studio.App.RobloxRibbonMainWindow.AddASpawnPoint,,Click here to add a spawn point into your game,Click here to add a spawn point into your game
Studio.App.RobloxRibbonMainWindow.AddDebugPlugin,,Add Debug Plugin,Add Debug Plugin
Studio.App.RobloxRibbonMainWindow.AddWeld,,Weld,Weld
Studio.App.RobloxRibbonMainWindow.Advanced,,Advanced,Advanced
Studio.App.RobloxRibbonMainWindow.AdvancedObjects,,Advanced Objects,Advanced Objects
Studio.App.RobloxRibbonMainWindow.AlignOrientation,,Align Orientation,Align Orientation
Studio.App.RobloxRibbonMainWindow.AlignPosition,,Align Position,Align Position
Studio.App.RobloxRibbonMainWindow.AnimationConstraint,,Animation Constraint,Animation Constraint
Studio.App.RobloxRibbonMainWindow.AlignTool,,Align Tool,Align Tool
