Key,Context,Source,en-us
Studio.App.AIDiffMessage.ChangeSummary,,Change Summary,Change Summary
Studio.App.AIDiffMessage.NoChanges,,The package has no changes.,The package has no changes.
Studio.App.AIDiffMessage.PromptLimit,,Looks like there are too many changes between these versions. Please try again with a simpler request.,Looks like there are too many changes between these versions. Please try again with a simpler request.
Studio.App.AIDiffMessage.QuotaLimit,,You have hit your quota limit for the day. Try sending a request tomorrow.,You have hit your quota limit for the day. Try sending a request tomorrow.
Studio.App.AIDiffMessage.RequestTimeout,,"Sorry, I'm experiencing a high volume of requests. Please try again later.","Sorry, I'm experiencing a high volume of requests. Please try again later."
Studio.App.AIDiffMessage.ServerError,,"Network error, please try again later.","Network error, please try again later."
Studio.App.AIDiffMessage.StopGeneration,,Stop,Stop
Studio.App.AIDiffMessage.UnknownError,,An error occurred. Please try again later.,An error occurred. Please try again later.
Studio.App.AboutStudioDialog.AmongRegisteredTrademarks,Replacement of Studio.App.MainWindow.AmongRegisteredTrademarks2 without contact us hyper link,"<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.","<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries."
Studio.App.AboutStudioDialog.ContactUs,Hyper link for contacting Roblox support,Contact Us,Contact Us
Studio.App.AboutStudioDialog.PrivacyPolicy,Hyper link for privacy policy,Privacy Policy,Privacy Policy
Studio.App.AboutStudioDialog.UpdatesNotAvailableForBuild,,Updates not available for this build,Updates not available for this build
Studio.App.ActionInitializer.ToggleSnapToParts,,Snap to Parts - Toggle,Snap to Parts - Toggle
Studio.App.ActionInitializer.ToggleSnapToPartsTooltip,,Toggle whether dragger tools snap to the edges / centers of parts.,Toggle whether dragger tools snap to the edges / centers of parts.
Studio.App.AddAttributeDialog.AttributeAlreadyExists,Displayed when adding an attribute and entering a name that exists.,Attribute already exists.,Attribute already exists.
Studio.App.AddAttributeDialog.AttributeCantStartWithRBX,Displayed when adding a new attribute in the Add Attribute dialog.,Can't start with 'RBX'.,Can't start with 'RBX'.
Studio.App.AddAttributeDialog.AttributeName,Displayed to the left of attribute name line edit.,Name,Name
Studio.App.AddAttributeDialog.AttributeType,Displayed to the left of attribute type combo box,Type,Type
Studio.App.AddAttributeDialog.ContainsIllegalCharacter,Displayed when an attribute contains special characters or an underscore,Contains illegal character(s).,Contains illegal character(s).
Studio.App.AddImageDialog.ChooseFile,,Choose File,Choose File
Studio.App.AddImageDialog.ChooseImageUpload,,Choose image to upload,Choose image to upload
Studio.App.AddImageDialog.CreateAssetName,,Creating asset name...,Creating asset name...
Studio.App.AddImageDialog.FileDoesNotExist,,File does not exist,File does not exist
Studio.App.AddImageDialog.Image,,Image:,Image:
Studio.App.AddImageDialog.ImageFileRequired,,Image file is required,Image file is required
Studio.App.AddImageDialog.Name,,Name:,Name:
Studio.App.AnimationFromVideoCreatorStudioService.FileTooLarge,,File is too large; must be less than %1MB,File is too large; must be less than %1MB
Studio.App.AnimationFromVideoCreatorStudioService.NoFileSelected,,No file selected,No file selected
Studio.App.AnimationFromVideoCreatorStudioService.SelectMP4VideoFile,,Select a video,Select a video
Studio.App.AnimationFromVideoCreatorStudioService.UploadFailed,,Upload failed,Upload failed
