Key,Context,Source,en-us
Studio.App.StudioPluginHost.BadFileFormat,,Unable to open plugin file (bad file format): ,Unable to open plugin file (bad file format): 
Studio.App.StudioPluginHost.CantAddNewPlugin,,Warning: unable to add new plugin to metadata file.,Warning: unable to add new plugin to metadata file.
Studio.App.StudioPluginHost.CantDownload,,Unable to download plugin at this time. Try again later.,Unable to download plugin at this time. Try again later.
Studio.App.StudioPluginHost.CantFindPlugin,,Unable to find plugin with the following id: %1,Unable to find plugin with the following id: %1
Studio.App.StudioPluginHost.CantLoadInvalidPlugin,,Error: Plugin at %1 could not be verified and security settings prevent it from loading.,Error: Plugin at %1 could not be verified and security settings prevent it from loading.
Studio.App.StudioPluginHost.CantLoadMetadata,,Unable to load metadata for installed plugins. Installed plugins will not be loaded.,Unable to load metadata for installed plugins. Installed plugins will not be loaded.
Studio.App.StudioPluginHost.CantParseSettings,,Unable to parse settings file for plugin,Unable to parse settings file for plugin
Studio.App.StudioPluginHost.CantRemovePluginFiles,,Unable to remove all of the plugin files in directory %1. Please clean this location manually,Unable to remove all of the plugin files in directory %1. Please clean this location manually
Studio.App.StudioPluginHost.CantSetEnabledDisabled,,Unable to set enabled/disabled state for plugin: %1,Unable to set enabled/disabled state for plugin: %1
Studio.App.StudioPluginHost.CantValidatePlugin,,Warning: Plugin at %1 could not be verified.,Warning: Plugin at %1 could not be verified.
Studio.App.StudioPluginHost.ErrorParsingAssetId,,Error parsing plugin asset id for plugin: %1,Error parsing plugin asset id for plugin: %1
Studio.App.StudioPluginHost.ErrorWhileTryingToOpenPluginFile,,Error while trying to open plugin file: %1,Error while trying to open plugin file: %1
Studio.App.StudioPluginHost.FinishedInstallingPlugin,,Finished installing plugin.,Finished installing plugin.
Studio.App.StudioPluginHost.PluginMetadataFileIsCorrupted,,Plugin metadata file is corrupted. Version information for your plugins may have been lost.,Plugin metadata file is corrupted. Version information for your plugins may have been lost.
Studio.App.StudioPluginHost.UnableToCreatePluginFile,,Unable to create plugin file.,Unable to create plugin file.
Studio.App.StudioPluginHost.UnableToWritePluginMetadata,,Unable to write plugin metadata. Version information for your plugins may be lost.,Unable to write plugin metadata. Version information for your plugins may be lost.
