Key,Context,Source,en-us
Studio.AssetExport.AssetType.Image,The name of an image asset type,Image,Image
Studio.AssetExport.AssetType.Mesh,The name of an mesh asset type,Mesh,Mesh
Studio.AssetExport.Buttons.Back,Text on the button that takes the user back to the main settings page of the exporter,Back,Back
Studio.AssetExport.Buttons.Cancel,Cancels the export,Cancel,Cancel
Studio.AssetExport.Buttons.Done,Acknowledges the imports status and closes the importer,Done,Done
Studio.AssetExport.Buttons.Export,Starts the export,Export,Export
Studio.AssetExport.Buttons.Processing,Export is currently in progress,Processing...,Processing...
Studio.AssetExport.Context.Browser,Button text that allows the user to open the selected asset id in their web browser,Open in Browser,Open in Browser
Studio.AssetExport.Context.Explorer,Prompts the user to show the failing content in their explorer browser,Show in Explorer,Show in Explorer
Studio.AssetExport.Info.Customize,The body text of the settings customization page,Pick the components to include in your GLTF file,Pick the components to include in your GLTF file
Studio.AssetExport.Info.Failure,Body text for a failed export,"Try again, or reach out on the dev forum if the issue persists","Try again, or reach out on the dev forum if the issue persists"
Studio.AssetExport.Info.Issues,Lets the user know that there were errors in the content they're trying to export,Some assets can't be exported due to permission restrictions. You can export the rest or adjust your settings.,Some assets can't be exported due to permission restrictions. You can export the rest or adjust your settings.
Studio.AssetExport.Info.Learn,Takes the user to a website where they can learn more about export permissions,Learn how to ensure you have permissions,Learn how to ensure you have permissions
Studio.AssetExport.Info.Permission,Header for the permission errors section,Permission Issues,Permission Issues
Studio.AssetExport.Info.Review,The body text of the permissions review page,Some assets can't be exported due to permission restrictions. You can export the rest or adjust your settings.,Some assets can't be exported due to permission restrictions. You can export the rest or adjust your settings.
Studio.AssetExport.Info.Success,Body text of a successful export,You may safely close the exporter,You may safely close the exporter
Studio.AssetExport.Info.UsagePlural,"How many instances there are for a given asset id failure, this is the plural version",Used in {count} instances,Used in {count} instances
Studio.AssetExport.Info.UsageSingle,"How many instances there are for a given asset id failure, this is the single version",Used in {count} instance,Used in {count} instance
Studio.AssetExport.SettingName.cages,If cages should be included in the exported file,Cages,Cages
Studio.AssetExport.SettingName.facs,If FACS should be included in the exported file,Dynamic Heads,Dynamic Heads
Studio.AssetExport.SettingName.pbr,If PBR Textures should be included in the exported file,PBR Textures,PBR Textures
Studio.AssetExport.SettingName.skinning,If skinning should be included in the exported file,Skinning,Skinning
Studio.AssetExport.SettingName.textures,If textures should be included in the exported file,Textures,Textures
Studio.AssetExport.SettingTitle.Include,Things that should be included in the exported file,Include,Include
Studio.AssetExport.Title.Customize,The title of the export settings page,Customize your export,Customize your export
Studio.AssetExport.Title.Failure,Title for a failed export,Export failed,Export failed
Studio.AssetExport.Title.Review,Promps the user to look at their permission issues for export,Review Issues,Review Issues
Studio.AssetExport.Title.Success,Title for a successful export,Export successful,Export successful
