Key,Context,Source,en-us
Studio.Common.Action.Accessory,,Accessory,Accessory
Studio.Common.Action.Animation,,Animation,Animation
Studio.Common.Action.Apply,,Apply,Apply
Studio.Common.Action.AvatarSettings,"Toolbar section for the Avatar Settings button, showing window for avatar customization",Avatar Settings,Avatar Settings
Studio.Common.Action.AvatarUnification,,Avatar Unification,Avatar Unification
Studio.Common.Action.Back,,Back,Back
Studio.Common.Action.Cancel,,Cancel,Cancel
Studio.Common.Action.Clear,,Clear,Clear
Studio.Common.Action.Close,,Close,Close
Studio.Common.Action.Confirm,,Confirm,Confirm
Studio.Common.Action.Continue,,Continue,Continue
Studio.Common.Action.Copy,,Copy,Copy
Studio.Common.Action.Create,,Create,Create
Studio.Common.Action.Cut,,Cut,Cut
Studio.Common.Action.Delete,,Delete,Delete
Studio.Common.Action.Edit,,Edit,Edit
Studio.Common.Action.Error,,Error,Error
Studio.Common.Action.Exit,,Exit,Exit
Studio.Common.Action.File,,File,File
Studio.Common.Action.Fill,,Fill,Fill
Studio.Common.Action.Find,,Find,Find
Studio.Common.Action.Goto,,Goto,Goto
Studio.Common.Action.Height,,Height,Height
Studio.Common.Action.Help,,Help,Help
Studio.Common.Action.HideDetails,,Hide Details,Hide Details
Studio.Common.Action.Home,,Home,Home
Studio.Common.Action.Ignore,,Ignore,Ignore
Studio.Common.Action.Import,,Import,Import
Studio.Common.Action.Insert,,Insert,Insert
Studio.Common.Action.Install,,Install,Install
Studio.Common.Action.Installed,,Installed,Installed
Studio.Common.Action.LabelWithColon1,,%1:,%1:
Studio.Common.Action.LearnMore,,Learn More,Learn More
Studio.Common.Action.Loading,,Loading...,Loading...
Studio.Common.Action.Move,,Move,Move
Studio.Common.Action.Name,,Name,Name
Studio.Common.Action.New,,New,New
Studio.Common.Action.Next,,Next,Next
Studio.Common.Action.No,,No,No
Studio.Common.Action.OK,,OK,OK
Studio.Common.Action.Okay,,Okay,Okay
Studio.Common.Action.Open,,Open,Open
Studio.Common.Action.Paste,,Paste,Paste
Studio.Common.Action.Pause,,Pause,Pause
Studio.Common.Action.PauseAllPhysics,,Pause Physics: All,Pause Physics: All
Studio.Common.Action.PauseCurrent,"Pauses the currently visible workspace, namely client or server.",Pause Current,Pause Current
Studio.Common.Action.PauseCurrentClient,,Pause Physics: Client,Pause Physics: Client
Studio.Common.Action.PauseCurrentPhysics,"Pauses the currently visible workspace physics simulation, namely client or server.",Pause Physics: Current,Pause Physics: Current
Studio.Common.Action.PauseCurrentServer,,Pause Physics: Server,Pause Physics: Server
Studio.Common.Action.PauseScripts,,Pause Scripts,Pause Scripts
Studio.Common.Action.Play,,Play,Play
Studio.Common.Action.Preview,,Setup,Setup
Studio.Common.Action.Previous,,Previous,Previous
Studio.Common.Action.PublishToRobloxAs,,Publish to Roblox As...,Publish to Roblox As...
Studio.Common.Action.Redo,,Redo,Redo
Studio.Common.Action.Reload,,Reload,Reload
Studio.Common.Action.Remove,,Remove,Remove
Studio.Common.Action.Rename,,Rename,Rename
Studio.Common.Action.Replace,,Replace,Replace
Studio.Common.Action.ReportBug,,Report Bug,Report Bug
Studio.Common.Action.Reset,,Reset,Reset
Studio.Common.Action.Resize,,Resize,Resize
Studio.Common.Action.Resume,,Resume,Resume
Studio.Common.Action.ResumeAllPhysics,,Resume Physics: All,Resume Physics: All
Studio.Common.Action.ResumeCurrent,"Resumes the currently visible workspace, namely client or server.",Resume Current,Resume Current
Studio.Common.Action.ResumeCurrentClient,,Resume Physics: Client,Resume Physics: Client
Studio.Common.Action.ResumeCurrentPhysics,"Resumes the currently visible workspace physics simulation, namely client or server.",Resume Physics: Current,Resume Physics: Current
Studio.Common.Action.ResumeCurrentServer,,Resume Physics: Server,Resume Physics: Server
Studio.Common.Action.ResumeScripts,,Resume Scripts,Resume Scripts
Studio.Common.Action.Retry,,Retry,Retry
Studio.Common.Action.Rig,,Rig,Rig
Studio.Common.Action.Rotate,,Rotate,Rotate
Studio.Common.Action.Save,,Save,Save
Studio.Common.Action.SaveToRoblox,,Save to Roblox,Save to Roblox
Studio.Common.Action.SaveToRobloxAs,,Save to Roblox As...,Save to Roblox As...
Studio.Common.Action.Search,,Search,Search
Studio.Common.Action.Select,,Select,Select
Studio.Common.Action.SelectAll,,Select All,Select All
Studio.Common.Action.Share,,Share,Share
Studio.Common.Action.ShowDetails,,Show Details,Show Details
Studio.Common.Action.StepForward,,Step Forward Physics: All,Step Forward Physics: All
Studio.Common.Action.StepForwardPhysicsClient,Steps simulation forward for the client.,Step Forward Physics: Client,Step Forward Physics: Client
Studio.Common.Action.StepForwardPhysicsCurrent,"Steps simulation forward in the currently visible workspace, namely client or server.",Step Forward Physics: Current,Step Forward Physics: Current
Studio.Common.Action.StepForwardPhysicsServer,Steps simulation forward for the server.,Step Forward Physics: Server,Step Forward Physics: Server
Studio.Common.Action.Stop,,Stop,Stop
Studio.Common.Action.Submit,,Submit,Submit
Studio.Common.Action.Undo,,Undo,Undo
Studio.Common.Action.Update,,Update,Update
Studio.Common.Action.Value,,Value,Value
Studio.Common.Action.Warning,,Warning,Warning
Studio.Common.Action.Width,,Width,Width
Studio.Common.Action.Yes,,Yes,Yes
Studio.Common.Input.NumberErrorAbove,Used in inputs across Studio to enforce numbers in a range,Please enter a number that is at least {minRange:int}.,Please enter a number that is at least {minRange:int}.
Studio.Common.Input.NumberErrorBelow,Used in inputs across Studio to enforce numbers in a range,Please enter a number up to {maxRange:int}.,Please enter a number up to {maxRange:int}.
Studio.Common.Input.NumberErrorBetween,Used with inputs across Studio to enforce numbers in a range,Please enter a number between {minRange:int} and {maxRange:int}.,Please enter a number between {minRange:int} and {maxRange:int}.
