Key,Context,Source,en-us
Studio.DeviceEmulator.EmulatorMainWidget.GenericHandheld,Generic handheld emulation device name,Generic Handheld,Generic Handheld
Studio.DeviceEmulator.EmulatorMainWidget.GenericHandheldHD1080,Name for the generic handheld emulator device with resolution 720p,Generic Handheld HD 1080,Generic Handheld HD 1080
Studio.DeviceEmulator.EmulatorMainWidget.GenericHandheldHD720,Name for the generic handheld emulator device with resolution 720p,Generic Handheld HD 720,Generic Handheld HD 720
Studio.DeviceEmulator.EmulatorMainWidget.HandheldSectionName,Section name for handheld emulated devices,Handheld,Handheld
Studio.DeviceEmulator.EmulatorMainWidget.ROGXboxAlly,Name of the ROG Xbox Ally device,ROG Xbox Ally,ROG Xbox Ally
Studio.DeviceEmulator.GraphicsQuality.AutoGraphicsQualityLabel,,Automatic Graphics Quality,Automatic Graphics Quality
Studio.DeviceEmulator.GraphicsQuality.GraphicsQualityLabel,,Graphics Quality,Graphics Quality
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneCheckboxLabel,,Enable,Enable
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneLabel,,Multi-Touch Emulation,Multi-Touch Emulation
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagLabel,,Network Replication Lag (seconds),Network Replication Lag (seconds)
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagNotNumberError,,Must be a number,Must be a number
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagPlaceholder,,0.5,0.5
Studio.DeviceEmulator.Plugin.Button,,Toggle,Toggle
Studio.DeviceEmulator.Plugin.Description,,Toggles the Device Emulator plugin window,Toggles the Device Emulator plugin window
Studio.DeviceEmulator.Plugin.Name,,Device Emulator,Device Emulator
Studio.DeviceEmulator.Plugin.Toolbar,,Device Emulator,Device Emulator
