Key,Context,Source,en-us
Studio.App.FindAllDialog.FindAll,,Find All,Find All
Studio.App.FindAllDialog.FindInAllScripts,,Find in all scripts,Find in all scripts
Studio.App.FindAllDialog.ReplaceAll,,Replace All,Replace All
Studio.App.FindReplaceWindow.NoResults,,No Results Found,No Results Found
Studio.App.FindReplaceWindow.OneResultOneFile,,1 result in 1 file,1 result in 1 file
Studio.App.FindReplaceWindow.ResultsOneFile1,,%1 results in 1 file,%1 results in 1 file
Studio.App.FindReplaceWindow.ResultsPerFile2,,%1 results in %2 files,%1 results in %2 files
Studio.App.FindReplaceWindow.WhereToLook,,Where to look,Where to look
Studio.App.FindReplaceWindow.AllScripts,,All Scripts,All Scripts
Studio.App.FindReplaceController.AreYouSureYouWantToReplaceAll,,"Are you sure you want to replace all? 
This action cannot be undone.","Are you sure you want to replace all? 
This action cannot be undone."
Studio.App.FindReplaceOpenAndLockScriptsDialog.LockingScriptsElps,,Locking Scripts...,Locking Scripts...
Studio.App.FindReplaceOpenLockedScriptsDialog.Script,,Script,Script
Studio.App.FindReplaceOpenLockedScriptsDialog.Editor,,Editor,Editor
Studio.App.FindReplaceOpenLockedScriptsDialog.StringCouldNotBeReplacedInAllScripts,,String could not be replaced in all scripts.,String could not be replaced in all scripts.
Studio.App.FindReplaceOpenLockedScriptsDialog.UnableToReplaceWhileScriptsBlocked,,"Unable to replace while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked.","Unable to replace while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked."
