Key,Context,Source,en-us
Studio.ModerationDialog.AbuseType.Advertising,,Advertising,Advertising
Studio.ModerationDialog.AbuseType.Chargeback,,Chargeback,Chargeback
Studio.ModerationDialog.AbuseType.CheatandExploits,,Cheat and Exploits,Cheat and Exploits
Studio.ModerationDialog.AbuseType.ChildEndangerment,,Child Endangerment,Child Endangerment
Studio.ModerationDialog.AbuseType.ContestsandSweepstakes,,Contests and Sweepstakes,Contests and Sweepstakes
Studio.ModerationDialog.AbuseType.Dating,,Dating,Dating
Studio.ModerationDialog.AbuseType.DirectingUsersOffPlatform,,Directing Users Off-Platform,Directing Users Off-Platform
Studio.ModerationDialog.AbuseType.DiscriminatoryContent,,Discriminatory Content,Discriminatory Content
Studio.ModerationDialog.AbuseType.DisruptiveAudio,,Disruptive Audio,Disruptive Audio
Studio.ModerationDialog.AbuseType.EncouragingDangerousBehavior,,Encouraging Dangerous Behavior,Encouraging Dangerous Behavior
Studio.ModerationDialog.AbuseType.ExtortionandBlackmail,,Extortion and Blackmail,Extortion and Blackmail
Studio.ModerationDialog.AbuseType.Harassment,,Harassment,Harassment
Studio.ModerationDialog.AbuseType.IpViolation,,Intellectual Property Violation,Intellectual Property Violation
Studio.ModerationDialog.AbuseType.IrlDangerousActivities,,IRL Dangerous Activities,IRL Dangerous Activities
Studio.ModerationDialog.AbuseType.MisusingRobloxSystems,,Misusing Roblox Systems,Misusing Roblox Systems
Studio.ModerationDialog.AbuseType.OffPlatformSpeechandBehavior,,Off Platform Speech and Behavior,Off Platform Speech and Behavior
Studio.ModerationDialog.AbuseType.Other,,Other,Other
Studio.ModerationDialog.AbuseType.PrivacyAskingforPII,,Privacy: Asking for PII,Privacy: Asking for PII
Studio.ModerationDialog.AbuseType.PrivacyGivingPII,,Privacy: Giving PII,Privacy: Giving PII
Studio.ModerationDialog.AbuseType.RealLifeThreats,,Real-Life Threats,Real-Life Threats
Studio.ModerationDialog.AbuseType.RobloxEconomy,,Roblox Economy,Roblox Economy
Studio.ModerationDialog.AbuseType.Scamming,,Scamming,Scamming
Studio.ModerationDialog.AbuseType.SeekingSexualContent,,Seeking Sexual Content,Seeking Sexual Content
Studio.ModerationDialog.AbuseType.SexualContent,,Sexual Content,Sexual Content
Studio.ModerationDialog.AbuseType.Spam,,Spam,Spam
Studio.ModerationDialog.AbuseType.SuicideSelfHarm,,Suicide/Self-Harm,Suicide/Self-Harm
Studio.ModerationDialog.AbuseType.Swearing,,Swearing,Swearing
Studio.ModerationDialog.AbuseType.ThreatsOrAbuseOfRobloxEmployeesOrAffiliates,,Threats or Abuse of Roblox Employees or Affiliates,Threats or Abuse of Roblox Employees or Affiliates
Studio.ModerationDialog.AbuseType.ViolentContentAndGore,,Violent Content and Gore,Violent Content and Gore
Studio.ModerationDialog.AccountDisabled.Appeal,,"If you wish to appeal, please contact us via the [link1].","If you wish to appeal, please contact us via the [link1]."
Studio.ModerationDialog.AccountDisabled.DisabledDateTime,,Your account has been disabled. You may re-activate it after {dateTime},Your account has been disabled. You may re-activate it after {dateTime}
Studio.ModerationDialog.AccountDisabled.Guidelines,,Please review the [link1].,Please review the [link1].
Studio.ModerationDialog.Agreement.GuidelinesAndToU,,Please abide by the Roblox Community Guideline so that Roblox can be fun for users of all ages. You may re-activate your account by agreeing to our Terms of Use.,Please abide by the Roblox Community Guideline so that Roblox can be fun for users of all ages. You may re-activate your account by agreeing to our Terms of Use.
Studio.ModerationDialog.Agreement.IAgree,,I agree,I agree
Studio.ModerationDialog.Agreement.TermsOfUse,,You may re-activate your account by agreeing to our [link1].,You may re-activate your account by agreeing to our [link1].
Studio.ModerationDialog.BanHeader.Ban14DaysHeader,,Banned for 14 Days,Banned for 14 Days
Studio.ModerationDialog.BanHeader.Ban1DayHeader,,Banned for 1 Day,Banned for 1 Day
Studio.ModerationDialog.BanHeader.Ban1YearHeader,,Banned for 1 Year,Banned for 1 Year
Studio.ModerationDialog.BanHeader.Ban3DaysHeader,,Banned for 3 Days,Banned for 3 Days
Studio.ModerationDialog.BanHeader.Ban6MonthsHeader,,Banned for 6 Months,Banned for 6 Months
Studio.ModerationDialog.BanHeader.Ban7DaysHeader,,Banned for 7 Days,Banned for 7 Days
Studio.ModerationDialog.BanHeader.Deactivated,Title for deactivated account notification dialog,Account Deactivated,Account Deactivated
Studio.ModerationDialog.BanHeader.Terminated,This is the title for the dialog that appears for terminated accounts,Account Terminated,Account Terminated
Studio.ModerationDialog.BasicExample.Text,,Capybaras are cute!,Capybaras are cute!
Studio.ModerationDialog.Body.Deactivated,Text to notify the user that their account is deactivated,Your account is currently deactivated.,Your account is currently deactivated.
Studio.ModerationDialog.Buttons.LogOut,,Log out,Log out
Studio.ModerationDialog.Buttons.Quit,Quit current studio instance,Quit,Quit
Studio.ModerationDialog.Buttons.Reactivate,,Re-activate my account,Re-activate my account
Studio.ModerationDialog.Buttons.ReviewToU,"""Review Terms of Use"" button text that a user can press",Review Terms of Use,Review Terms of Use
Studio.ModerationDialog.Buttons.TermsOfUse,,Terms of Use,Terms of Use
Studio.ModerationDialog.CounterExample.Button,,Push me!,Push me!
Studio.ModerationDialog.CounterExample.CounterLabel,,You pressed me {counter} times!,You pressed me {counter} times!
Studio.ModerationDialog.Links.AppealPortal,,Appeals Portal,Appeals Portal
Studio.ModerationDialog.Links.GuidelinesLink,,Roblox Community Standards,Roblox Community Standards
Studio.ModerationDialog.Links.ToULink,,Terms of Use,Terms of Use
Studio.ModerationDialog.Plugin.Button,,Moderation Dialog,Moderation Dialog
Studio.ModerationDialog.Plugin.Description,,A template for all your studio plugin needs!,A template for all your studio plugin needs!
Studio.ModerationDialog.Plugin.Name,,ModerationDialog,ModerationDialog
Studio.ModerationDialog.QuitConfirmationDialog.Text,Ask user how to re-activate their account,"To re-activate your account, you must agree to the Terms of Use.","To re-activate your account, you must agree to the Terms of Use."
Studio.ModerationDialog.QuitConfirmationDialog.Title,Title of the moderation UX confirmation dialog to quit studio,Are you sure you want to quit Studio?,Are you sure you want to quit Studio?
Studio.ModerationDialog.Reason.AssetId1,,Asset ID: {assetId},Asset ID: {assetId}
Studio.ModerationDialog.Reason.OffensiveItem1,,Offensive Item: {offensiveItem},Offensive Item: {offensiveItem}
Studio.ModerationDialog.Reason.Reason1,,Reason: {reason},Reason: {reason}
Studio.ModerationDialog.ReviewedNote.ModeratorNote1,,Moderator Note: {note},Moderator Note: {note}
