Key,Context,Source,en-us
Studio.App.RobloxStudioVerbs.Grant.Permission,,Grant Permission,Grant Permission
Studio.App.RobloxStudioVerbs.Warning,,Warning,Warning
Studio.App.RobloxStudioVerbs.GrantUniversePermissionQuestion,,Do you want to allow this game to use this asset?,Do you want to allow this game to use this asset?
Studio.App.IDEGameSettingsLinkDefinition.GameSettingsNotAvailable,,Game Settings not available,Game Settings not available
Studio.App.IDEGameSettingsLinkDefinition.OpenGameSettings,,Open Game Settings,Open Game Settings
Studio.App.IDEPermissionsResolutionLinkDefinition.PermissionsResolutionNotAvailable,,Permissions Resolution not available,Permissions Resolution not available
Studio.App.IDEPermissionsResolutionLinkDefinition.OpenPermissionsResolution,,Open Permissions Resolution,Open Permissions Resolution
Studio.App.IDEPermissionsResolutionLinkDefinition.AssetInfo3,,"Name: %1
AssetId: %2
Type: %3","Name: %1
AssetId: %2
Type: %3"
Studio.App.RobloxTextOutputWidget.OpenLink,,Open link,Open link
Studio.App.RobloxTextOutputWidget.Copy,,Copy,Copy
Studio.App.RobloxTextOutputWidget.SelectAll,,Select All,Select All
Studio.App.RobloxTextOutputWidget.ClearOutput,,Clear Output,Clear Output
Studio.App.RobloxTextOutputWidget.LuaTableIndicator1,,table: %1,table: %1
Studio.App.RobloxTextOutputWidget.Filter,,Filter...,Filter...
Studio.App.RobloxOutputRibbonDropdown.All,,All,All
Studio.App.RobloxOutputRibbonDropdown.AllContexts,,All Contexts,All Contexts
Studio.App.RobloxOutputRibbonDropdown.AllMessages,,All Messages,All Messages
Studio.App.RobloxOutputRibbonDropdown.UserPlugin,,User Plugin,User Plugin
Studio.App.RobloxOutputRibbonDropdown.CoreScript,,CoreScript,CoreScript
Studio.App.RobloxOutputRibbonDropdown.None,,None,None
Studio.App.RobloxOutputRibbonDropdown.NumberTypes1,,%1 Types,%1 Types
Studio.App.RobloxOutputRibbonDropdown.NumberContexts1,,%1 Contexts,%1 Contexts
Studio.App.RobloxOutputRibbonDropdown.MessageTypes,,Message Types,Message Types
Studio.App.RobloxOutputRibbonDropdown.Context,,Context,Context
