Key,Context,Source,en-us
Studio.App.IdeDoc.SavedToRoblox1,Message displayed when a user successfully saves a place to Roblox.,"Saved ""%1"" to Roblox.","Saved ""%1"" to Roblox."
Studio.App.IdeDoc.SavedToRoblox2,"Message displayed when a user successfully saves a place to Roblox, %1 is place name and %2 is game name.","Saved ""%1"" to ""%2"" in Roblox.","Saved ""%1"" to ""%2"" in Roblox."
Studio.App.IdeDoc.SavedToRobloxNew1,Message displayed when a user successfully saves a place to Roblox.,"Saved new changes in ""%1"" to Roblox.","Saved new changes in ""%1"" to Roblox."
Studio.App.IdeDoc.SavedToRobloxNotMoved2,Message displayed when a user successfully saves a place to Roblox. %1 and %2 are both place names.,"Saved ""%1"" to Roblox, but you are still editing ""%2"".","Saved ""%1"" to Roblox, but you are still editing ""%2""."
Studio.App.IdeDoc.SavedToRobloxNotMoved3,"Message displayed when a user successfully saves a place to Roblox, %1 and %3 are place names and %2 is game name.","Saved ""%1"" to ""%2"" in Roblox, but you are still editing ""%3"".","Saved ""%1"" to ""%2"" in Roblox, but you are still editing ""%3""."
Studio.App.IdeDoc.PublishedToRoblox1,Message displayed when a user successfully saves a place to Roblox.,"Published ""%1"" to Roblox.","Published ""%1"" to Roblox."
Studio.App.IdeDoc.PublishedToRoblox2,"Message displayed when a user successfully saves a place to Roblox, %1 is place name and %2 is game name.","Published ""%1"" to ""%2"" in Roblox.","Published ""%1"" to ""%2"" in Roblox."
Studio.App.IdeDoc.PublishedToRobloxNew1,Message displayed when a user successfully saves a place to Roblox.,"Published new changes in ""%1"" to Roblox.","Published new changes in ""%1"" to Roblox."
Studio.App.IdeDoc.PublishedToRobloxNotMoved2,Message displayed when a user successfully saves a place to Roblox. %1 and %2 are both place names.,"Published ""%1"" to Roblox, but you are still editing ""%2"".","Published ""%1"" to Roblox, but you are still editing ""%2""."
Studio.App.IdeDoc.PublishedToRobloxNotMoved3,"Message displayed when a user successfully saves a place to Roblox, %1 and %3 are place names and %2 is game name.","Published ""%1"" to ""%2"" in Roblox, but you are still editing ""%3"".","Published ""%1"" to ""%2"" in Roblox, but you are still editing ""%3""."
