Key,Context,Source,en-us
Studio.App.QuickOpenDialog.Instance,,Instance,Instance
Studio.App.QuickOpenDialog.Actions,,Actions,Actions
Studio.App.QuickOpenDialog.GotoLine,,GotoLine,GotoLine
Studio.App.QuickOpenDialog.ShowMore,,Show More,Show More
Studio.App.QuickOpenDialog.MatchCase,,Match Case,Match Case
Studio.App.QuickOpenDialog.RegularExpr,,Regular Expression,Regular Expression
Studio.App.QuickOpenDialog.MoreSettings,,More Settings,More Settings
Studio.App.QuickOpenDialog.SpaceAsWildcard,,Space as Wildcard,Space as Wildcard
Studio.App.QuickOpenDialog.ScriptOnly,,Script Only,Script Only
Studio.App.QuickOpenDialog.FuzzySearch,,Fuzzy Search for Instances,Fuzzy Search for Instances
Studio.App.QuickOpenDialog.SearchScriptContent,,Search Script Content,Search Script Content
Studio.App.QuickOpenDialog.Recent,,Recent,Recent
Studio.App.QuickOpenDialog.TypeLineNumber2,,Type a line number between %1 and %2 to navigate.,Type a line number between %1 and %2 to navigate.
Studio.App.QuickOpenDialog.OpenScriptFirst,,Open a Script first to go to line,Open a Script first to go to line
Studio.App.QuickOpenDialog.EmptyScript,,This is an empty Script,This is an empty Script
Studio.App.QuickOpenDialog.GotoLine1,,Goto line %1,Goto line %1
