Key,Context,Source,en-us
Studio.RobloxPropertiesWidget.AddTagPopup.CreateTagFmt1,Displayed in the AddTagPopup to label a tag that will be newly created.,Create tag: %1,Create tag: %1
Studio.RobloxPropertiesWidget.AddTagPopup.LineEditText,Text that appears in the text box of the AddTagPopup letting users know how to use it.,Search for or create a tag,Search for or create a tag
Studio.RobloxPropertiesWidget.AddTagPopup.NoTagsCreated,Displayed in the AddTagPopup when no tags have been created yet.,No tags have been created yet,No tags have been created yet
Studio.RobloxPropertiesWidget.Category.Accessories,,Accessories,Accessories
Studio.RobloxPropertiesWidget.Category.Advanced,,Advanced,Advanced
Studio.RobloxPropertiesWidget.Category.Aerodynamics,,Aerodynamics,Aerodynamics
Studio.RobloxPropertiesWidget.Category.AirProperties,,AirProperties,AirProperties
Studio.RobloxPropertiesWidget.Category.AlignOrientation,,AlignOrientation,AlignOrientation
Studio.RobloxPropertiesWidget.Category.AlignPosition,,AlignPosition,AlignPosition
Studio.RobloxPropertiesWidget.Category.Alignment,,Alignment,Alignment
Studio.RobloxPropertiesWidget.Category.AlignmentMode,,AlignmentMode,AlignmentMode
Studio.RobloxPropertiesWidget.Category.AngularLimits,,AngularLimits,AngularLimits
Studio.RobloxPropertiesWidget.Category.AngularMotor,,AngularMotor,AngularMotor
Studio.RobloxPropertiesWidget.Category.AngularServo,,AngularServo,AngularServo
Studio.RobloxPropertiesWidget.Category.Animatable,,Animatable,Animatable
Studio.RobloxPropertiesWidget.Category.Animation,,Animation,Animation
Studio.RobloxPropertiesWidget.Category.Appearance,,Appearance,Appearance
Studio.RobloxPropertiesWidget.Category.Assembly,,Assembly,Assembly
Studio.RobloxPropertiesWidget.Category.Asset,,Asset,Asset
Studio.RobloxPropertiesWidget.Category.Attachments,,Attachments,Attachments
Studio.RobloxPropertiesWidget.Category.Attributes,,Attributes,Attributes
Studio.RobloxPropertiesWidget.Category.Audio,,Audio,Audio
Studio.RobloxPropertiesWidget.Category.AutoPlayInEditMode,Controls to play video assets while in Studio edit mode,AutoPlayInEditMode,AutoPlayInEditMode
Studio.RobloxPropertiesWidget.Category.AutoRecovery,,Auto-Recovery,Auto-Recovery
Studio.RobloxPropertiesWidget.Category.Axes,,Axes,Axes
Studio.RobloxPropertiesWidget.Category.Balance,,Balance,Balance
Studio.RobloxPropertiesWidget.Category.BallSocket,,BallSocket,BallSocket
Studio.RobloxPropertiesWidget.Category.Behavior,,Behavior,Behavior
Studio.RobloxPropertiesWidget.Category.Behaviors,The category for binding Behaviors to Instances.,Behaviors,Behaviors
Studio.RobloxPropertiesWidget.Category.Benchmarking,,Benchmarking,Benchmarking
Studio.RobloxPropertiesWidget.Category.BodyColors,,Body Colors,Body Colors
Studio.RobloxPropertiesWidget.Category.BodyParts,,Body Parts,Body Parts
Studio.RobloxPropertiesWidget.Category.Brows,,Brows,Brows
Studio.RobloxPropertiesWidget.Category.Browsing,,Browsing,Browsing
Studio.RobloxPropertiesWidget.Category.Cache,,Cache,Cache
Studio.RobloxPropertiesWidget.Category.Camera,,Camera,Camera
Studio.RobloxPropertiesWidget.Category.Character,,Character,Character
Studio.RobloxPropertiesWidget.Category.CharacterJumpSettings,,Character Jump Settings,Character Jump Settings
Studio.RobloxPropertiesWidget.Category.Clothes,,Clothes,Clothes
Studio.RobloxPropertiesWidget.Category.Collision,,Collision,Collision
Studio.RobloxPropertiesWidget.Category.Compliance,,Compliance,Compliance
Studio.RobloxPropertiesWidget.Category.CompositeDirections,A collection of directional keys e.g. Up/Down/Left/Right that come together to make up one input. The most common examples are WASD and the arrow keys on keyboards.,Composite Directions,Composite Directions
Studio.RobloxPropertiesWidget.Category.Configuration,,Configuration,Configuration
Studio.RobloxPropertiesWidget.Category.Connections,,Connections,Connections
Studio.RobloxPropertiesWidget.Category.Control,,Control,Control
Studio.RobloxPropertiesWidget.Category.ControlPoints,,Control Points,Control Points
