Key,Context,Source,en-us
Studio.App.GoToLineDialog.LineNumber,,Line number:,Line number:
Studio.App.ScriptingCmd.REPLACE,,Replace Text,Replace Text
Studio.App.ScriptingCmd.REPLACETooltip,,Replace text in an open script,Replace text in an open script
Studio.App.ScriptingCmd.CONFIG,,Config Script Editor,Config Script Editor
Studio.App.ScriptingCmd.CONFIGTooltip,,Configure the Script Editor,Configure the Script Editor
Studio.App.ScriptingCmd.INSERT,,Insert Text,Insert Text
Studio.App.ScriptingCmd.INSERTTooltip,,Insert text at the given position,Insert text at the given position
Studio.App.ScriptingCmd.SELECT,,Select Text,Select Text
Studio.App.ScriptingCmd.SELECTTooltip,,Select text at the given position,Select text at the given position
Studio.App.ScriptingCmd.FOLDTOGGLE,,Toggle Code Fold,Toggle Code Fold
Studio.App.ScriptingCmd.FOLDTOGGLETooltip,,Toggle a folded code block,Toggle a folded code block
Studio.App.ScriptingCmd.GOTOLINE,,Go to Line,Go to Line
Studio.App.ScriptingCmd.GOTOLINETooltip,,Go to a line in the script,Go to a line in the script
Studio.App.ScriptingCmd.GOTOPOS,,Go to Position,Go to Position
Studio.App.ScriptingCmd.GOTOPOSTooltip,,Go to a position in the script,Go to a position in the script
Studio.App.ScriptingCmd.GOTODECL,,Go to Declaration,Go to Declaration
Studio.App.ScriptingCmd.GOTODECLTooltip,,Go to variable declaration,Go to variable declaration
Studio.App.ScriptingCmd.GOTOERR,,Go to Script Error,Go to Script Error
Studio.App.ScriptingCmd.GOTOERRTooltip,,Focus view on script error,Focus view on script error
Studio.App.ScriptingCmd.INVOKESYMBOLS,,Open Script Function Filter,Open Script Function Filter
Studio.App.ScriptingCmd.INVOKESYMBOLSTooltip,,Open the Script Function Filter,Open the Script Function Filter
Studio.App.ScriptingCmd.DUPLICATESELECTION,,Duplicate Selection,Duplicate Selection
Studio.App.ScriptingCmd.DUPLICATESELECTIONTooltip,,Duplicate current line or selection,Duplicate current line or selection
Studio.App.ScriptingCmd.DELETELINES,,Delete Lines,Delete Lines
Studio.App.ScriptingCmd.DELETELINESTooltip,,Delete selected line(s),Delete selected line(s)
Studio.App.ScriptingCmd.DELETETOSTARTOFLINE,,Delete to Start of Line,Delete to Start of Line
Studio.App.ScriptingCmd.DELETETOSTARTOFLINETooltip,,Delete to the start of the current line,Delete to the start of the current line
