Key,Context,Source,en-us
Studio.SettingsDialog.Property.IconOverrideDir,User can specify a folder on their machine containing custom icons to use instead of default Roblox Studio icons,Custom Icon Dir,Custom Icon Dir
Studio.App.RobloxSettingsDialog.RestartForSettingsChanges,,Some setting changes will not take effect until you restart Roblox,Some setting changes will not take effect until you restart Roblox
Studio.App.RobloxSettingsDialog.ResetAllSettings,,Reset All Settings,Reset All Settings
Studio.App.RobloxSettingsDialog.ResetSettingsTitle,,Reset Settings,Reset Settings
Studio.App.RobloxSettingsDialog.ResetSettingsText,,Resetting settings will not take effect until you restart Roblox,Resetting settings will not take effect until you restart Roblox
Studio.App.RobloxSettingsDialog.SettingsSearch,,Search...,Search...
Studio.App.PropertyEnum.SystemDefault,,System Default,System Default
Studio.App.SettingsHeader.Diagnostics,,Diagnostics,Diagnostics
Studio.App.SettingsCategory.DiagnosticsPerformance,,Performance,Performance
Studio.App.Property.InstanceCount,,Instance Count,Instance Count
Studio.App.Property.PlayerCount,,Player Count,Player Count
Studio.App.Property.DataModel,,Data Model Count,Data Model Count
Studio.App.Property.JobCount,,Job Count,Job Count
Studio.App.SettingsCategory.DiagnosticsErrors,,Errors,Errors
Studio.App.Property.ReportSoundWarnings,,Report Sound Warnings,Report Sound Warnings
Studio.App.Property.IsScriptStackTracingEnabled,,Is Script Stack Tracing Enabled,Is Script Stack Tracing Enabled
Studio.App.SettingsCategory.DiagnosticsProfile,,Profile,Profile
Studio.App.Property.RobloxVersion,,Roblox Version,Roblox Version
Studio.App.SettingsCategory.DiagnosticsBenchmarking,,Benchmarking,Benchmarking
Studio.App.Property.TickCountPreciseOverride,,Tick Count Precise Override,Tick Count Precise Override
Studio.App.SettingsHeader.Physics,,Physics,Physics
Studio.App.SettingsCategory.PhysicsPerformance,,Performance,Performance
Studio.App.Property.AllowSleep,,Allow Sleep,Allow Sleep
Studio.App.Property.PhysicsEnvironmentalThrottle,,Physics Environmental Throttle,Physics Environmental Throttle
Studio.App.Property.ThrottleAdjustTime,,Throttle Adjust Time,Throttle Adjust Time
Studio.App.SettingsCategory.PhysicsDisplay,,Display,Display
Studio.App.Property.AreAnchorsShown,,Are Anchors Shown,Are Anchors Shown
Studio.App.Property.ArePartCoordsShown,,Are Part Coords Shown,Are Part Coords Shown
Studio.App.Property.AreUnalignedPartsShown,,Are Unaligned Parts Shown,Are Unaligned Parts Shown
Studio.App.Property.AreModelCoordsShown,,Are Model Coords Shown,Are Model Coords Shown
Studio.App.Property.AreContactIslandsShown,,Are Contact Islands Shown,Are Contact Islands Shown
Studio.App.Property.AreWorldCoordsShown,,Are World Coords Shown,Are World Coords Shown
Studio.App.Property.AreTerrainReplicationRegionsShown,,Are Terrain Replication Regions Shown,Are Terrain Replication Regions Shown
Studio.App.Property.AreOwnersShown,,Are Owners Shown,Are Owners Shown
Studio.App.Property.AreRegionsShown,,Are Regions Shown,Are Regions Shown
Studio.App.Property.AreAwakePartsHighlighted,,Are Awake Parts Highlighted,Are Awake Parts Highlighted
Studio.App.Property.AreBodyTypesShown,,Are Body Types Shown,Are Body Types Shown
Studio.App.Property.IsReceiveAgeShown,,Is Receive Age Shown,Is Receive Age Shown
Studio.App.Property.AreContactPointsShown,,Are Contact Points Shown,Are Contact Points Shown
Studio.App.Property.AreJointCoordinatesShown,,Are Joint Coordinates Shown,Are Joint Coordinates Shown
Studio.App.Property.AreMechanismsShown,,Are Mechanisms Shown,Are Mechanisms Shown
Studio.App.Property.AreAssembliesShown,,Are Assemblies Shown,Are Assemblies Shown
Studio.App.Property.IsTreeShown,,Is Tree Shown,Is Tree Shown
Studio.App.Property.IsInterpolationThrottleShown,,Is Interpolation Throttle Shown,Is Interpolation Throttle Shown
Studio.App.Property.ShowDecompositionGeometry,,Show Decomposition Geometry,Show Decomposition Geometry
Studio.App.Property.DisableCSGv2,,Enable Legacy CSG,Enable Legacy CSG
Studio.App.Property.AreTimestepsShown,,Are Timesteps Shown,Are Timesteps Shown
Studio.App.SettingsHeader.Studio,,Studio,Studio
Studio.App.SettingsCategory.StudioCamera,,Camera,Camera
Studio.App.Property.CameraSpeed,,Camera Speed,Camera Speed
Studio.App.Property.CameraShiftSpeed,,Camera Shift Speed,Camera Shift Speed
Studio.App.Property.CameraPanSpeed,,Camera Pan Speed,Camera Pan Speed
Studio.App.Property.CameraMouseWheelSpeed,,Camera Mouse Wheel Speed,Camera Mouse Wheel Speed
Studio.App.Property.CameraZoomToMousePosition,,Camera Zoom to Mouse Position,Camera Zoom to Mouse Position
Studio.App.SettingsCategory.StudioDirectories,,Directories,Directories
Studio.App.Property.DefaultScriptFileDir,,Default Script File Dir,Default Script File Dir
Studio.App.Property.PluginsDir,,Plugins Dir,Plugins Dir
Studio.App.Property.LocalAssetsFolder,,Local Assets Folder,Local Assets Folder
Studio.App.SettingsCategory.StudioGeneral,,General,General
Studio.App.Property.AlwaysSaveScriptChanges,,Always Save Script Changes,Always Save Script Changes
Studio.App.Property.RenderThrottlePercentage,,Render Throttle Percentage,Render Throttle Percentage
Studio.App.Property.DisplayLanguage,,Language,Language
Studio.App.Property.Theme,,Theme,Theme
Studio.App.SettingsCategory.StudioTools,,Tools,Tools
Studio.App.Property.ShowHoverOver,,Show Hover Over,Show Hover Over
Studio.App.Property.AnimateHoverOver,,Animate Hover Over,Animate Hover Over
Studio.App.Property.HoverAnimateSpeed,,Hover Animate Speed,Hover Animate Speed
Studio.App.Property.SelectColor,,Select Color,Select Color
Studio.App.Property.HoverOverColor,,Hover Over Color,Hover Over Color
Studio.App.Property.ActiveColor,,Active Color,Active Color
Studio.App.Property.ActiveHoverOverColor,,Active Hover Over Color,Active Hover Over Color
Studio.App.Property.PhysicalDraggersSelectScopeByDefault,,Physical Draggers Select Scope (Alt-click) By Default,Physical Draggers Select Scope (Alt-click) By Default
Studio.App.PropertyTooltip.PhysicalDraggersSelectScopeByDefault,,"When using the Physical draggers, toggle if a single click selects the Model or a scope by default.  Alt-click to toggle behavior.","When using the Physical draggers, toggle if a single click selects the Model or a scope by default.  Alt-click to toggle behavior."
Studio.App.Property.BoundingBoxMoveHandles,,Use Bounding Box Move Handles,Use Bounding Box Move Handles
Studio.App.PropertyTooltip.BoundingBoxMoveHandles,,Position Move handles at the edges of the bounding box instead of at the pivot.,Position Move handles at the edges of the bounding box instead of at the pivot.
Studio.App.Property.PivotSnapToGeometryColor,,Pivot Snap To Geometry Color,Pivot Snap To Geometry Color
Studio.App.PropertyTooltip.PivotSnapToGeometryColor,,"When snapping the pivot to geometry in the Pivot Editor, what color should the interesting points be highlighted with?","When snapping the pivot to geometry in the Pivot Editor, what color should the interesting points be highlighted with?"
Studio.App.Property.DEPRECATEDHoverBoxThickness,,Hover Box Thickness,Hover Box Thickness
Studio.App.Property.HoverBoxThickness,,(Unused) Hover Box Thickness,(Unused) Hover Box Thickness
Studio.App.PropertyTooltip.HoverThickness,,How thick is the box shown around the item your mouse is hovering over?,How thick is the box shown around the item your mouse is hovering over?
Studio.App.Property.DEPRECATEDSelectionThickness,,Selection Box Thickness,Selection Box Thickness
Studio.App.Property.SelectionThickness,,(Unused) Selection Box Thickness,(Unused) Selection Box Thickness
Studio.App.PropertyTooltip.SelectionThickness,,How thick is the box shown around the selected Instances?,How thick is the box shown around the selected Instances?
Studio.App.Property.SelectionLineThickness,,Selection Line Thickness,Selection Line Thickness
Studio.App.PropertyTooltip.SelectionLineThickness,,How thick is the outline shown around the selected Instances?,How thick is the outline shown around the selected Instances?
Studio.App.Property.HoverLineThickness,,Hover Line Thickness,Hover Line Thickness
Studio.App.PropertyTooltip.HoverLineThickness,,How thick is the outline shown around the item your mouse is hovering over?,How thick is the outline shown around the item your mouse is hovering over?
Studio.App.Property.Font,,Font,Font
Studio.App.Property.TabWidth,,Tab Width,Tab Width
Studio.App.Property.IndentUsingSpaces,,Indent Using Spaces,Indent Using Spaces
Studio.App.Property.TextWrapping,,Text Wrapping,Text Wrapping
Studio.App.Property.ShowWhitespace,,Show Whitespace,Show Whitespace
Studio.App.Property.ScrollPastLastLine,,Scroll Past Last Line,Scroll Past Last Line
Studio.App.Property.Rulers,,"Rulers (1, 2, ...)","Rulers (1, 2, ...)"
Studio.App.Property.FormatOnType,,Format On Type,Format On Type
Studio.App.Property.FormatOnPaste,,Format On Paste,Format On Paste
Studio.App.Property.AutoIndentRule,,Auto Indent Rule,Auto Indent Rule
Studio.App.Property.AutoClosingBrackets,,Auto Closing Brackets,Auto Closing Brackets
Studio.App.Property.AutoCleanEmptyLine,,Auto Clean Empty Line,Auto Clean Empty Line
Studio.App.Property.AutoClosingQuotes,,Auto Closing Quotes,Auto Closing Quotes
Studio.App.Property.SkipClosingBracketsAndQuotes,,Skip Closing Brackets and Quotes,Skip Closing Brackets and Quotes
Studio.App.Property.EnableAutocomplete,,Enable Autocomplete,Enable Autocomplete
Studio.App.Property.EnableAutocompleteDocView,,Enable Autocomplete Documentation,Enable Autocomplete Documentation
Studio.App.Property.EnableOnTypeAutocomplete,,Enable On-Type Autocomplete,Enable On-Type Autocomplete
Studio.App.Property.EnableScriptAnalysis,,Enable Script Analysis,Enable Script Analysis
Studio.App.Property.EnableTypeHover,,Enable Type Hover,Enable Type Hover
Studio.App.Property.EnableSignatureHelp,,Enable Signature Help,Enable Signature Help
Studio.App.Property.EnableSignatureHelpDocView,,Enable Signature Help Documentation,Enable Signature Help Documentation
Studio.App.Property.HighlightCurrentLine,Should we highlight the line we are currently editing in script editor,Highlight Current Line,Highlight Current Line
Studio.App.Property.HighlightOccurances,Should we highlight other occurances of the word under the cursor in script editor,Highlight Current Word,Highlight Current Word
