Key,Context,Source,en-us
Studio.App.BetaFeatures.TryCoolFeaturesWithWarning,,Try out cool new features before they are released to everyone! Please be aware that Beta features could be unstable. Your feedback is invaluable to us as we move towards building the imagination platform.,Try out cool new features before they are released to everyone! Please be aware that Beta features could be unstable. Your feedback is invaluable to us as we move towards building the imagination platform.
Studio.App.BetaFeatures.SelectFeaturesToActivate,,Select beta features to activate,Select beta features to activate
Studio.App.BetaFeatures.Details,,Details,Details
Studio.App.BetaFeatures.LearnMoreTooltip,,Learn More,Learn More
Studio.App.BetaFeatures.AutoEnrollmentToggleLabel,,Auto-Enable Upcoming Features,Auto-Enable Upcoming Features
Studio.App.BetaFeatures.AutoEnrollmentToggleTooltip,,New Beta Features Will Automatically Be Activated,New Beta Features Will Automatically Be Activated
Studio.App.BetaFeatures.NewFeaturesForChannelUserWarning1,,"New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>","New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>"
Studio.App.PropertyEnum.Client,,Client,Client
Studio.App.PropertyEnum.Server,,Server,Server
Studio.App.PropertyEnum.Absolute,,Absolute,Absolute
Studio.App.PropertyEnum.Aggregate,,Aggregate,Aggregate
Studio.App.PropertyEnum.Always,,Always,Always
Studio.App.PropertyEnum.Auto,,Auto,Auto
Studio.App.PropertyEnum.Automatic,,Automatic,Automatic
Studio.App.PropertyEnum.Benchmark,,Benchmark,Benchmark
Studio.App.PropertyEnum.DefaultAuto,,Default Auto,Default Auto
Studio.App.PropertyEnum.Direct3D11,,Direct3D11,Direct3D11
Studio.App.PropertyEnum.Direct3D9,,Direct3D9,Direct3D9
Studio.App.PropertyEnum.Disabled,,Disabled,Disabled
Studio.App.PropertyEnum.DontReport,,Don't Report,Don't Report
Studio.App.PropertyEnum.Enabled,,Enabled,Enabled
Studio.App.PropertyEnum.Fast,,Fast,Fast
Studio.App.PropertyEnum.Game,,Game,Game
Studio.App.PropertyEnum.HighResolution,,High Resolution,High Resolution
Studio.App.PropertyEnum.Horizontal,,Horizontal,Horizontal
Studio.App.PropertyEnum.Hybrid,,Hybrid,Hybrid
Studio.App.PropertyEnum.Level00,,Level 00,Level 00
Studio.App.PropertyEnum.Level01,,Level 01,Level 01
Studio.App.PropertyEnum.Level02,,Level 02,Level 02
Studio.App.PropertyEnum.Level03,,Level 03,Level 03
Studio.App.PropertyEnum.Level04,,Level 04,Level 04
Studio.App.PropertyEnum.Level05,,Level 05,Level 05
Studio.App.PropertyEnum.Level06,,Level 06,Level 06
Studio.App.PropertyEnum.Level07,,Level 07,Level 07
Studio.App.PropertyEnum.Level08,,Level 08,Level 08
Studio.App.PropertyEnum.Level09,,Level 09,Level 09
Studio.App.PropertyEnum.Level10,,Level 10,Level 10
Studio.App.PropertyEnum.Level11,,Level 11,Level 11
Studio.App.PropertyEnum.Level12,,Level 12,Level 12
Studio.App.PropertyEnum.Level13,,Level 13,Level 13
Studio.App.PropertyEnum.Level14,,Level 14,Level 14
Studio.App.PropertyEnum.Level15,,Level 15,Level 15
Studio.App.PropertyEnum.Level16,,Level 16,Level 16
Studio.App.PropertyEnum.Level17,,Level 17,Level 17
Studio.App.PropertyEnum.Level18,,Level 18,Level 18
Studio.App.PropertyEnum.Level19,,Level 19,Level 19
Studio.App.PropertyEnum.Level20,,Level 20,Level 20
Studio.App.PropertyEnum.Level21,,Level 21,Level 21
Studio.App.PropertyEnum.LowResolution,,Low Resolution,Low Resolution
Studio.App.PropertyEnum.Medium,,Medium,Medium
Studio.App.PropertyEnum.MediumResolution,,Medium Resolution,Medium Resolution
Studio.App.PropertyEnum.Metal,,Metal,Metal
Studio.App.PropertyEnum.Muted,,Muted,Muted
Studio.App.PropertyEnum.NoGraphics,,No Graphics,No Graphics
Studio.App.PropertyEnum.On,,On,On
Studio.App.PropertyEnum.OnlineGame,,Online Game,Online Game
Studio.App.PropertyEnum.OpenGL,,OpenGL,OpenGL
Studio.App.PropertyEnum.PerCore1,,Per Core 1,Per Core 1
Studio.App.PropertyEnum.PerCore2,,Per Core 2,Per Core 2
Studio.App.PropertyEnum.PerCore3,,Per Core 3,Per Core 3
Studio.App.PropertyEnum.PerCore4,,Per Core 4,Per Core 4
Studio.App.PropertyEnum.IterationBased,,Iteration Based,Iteration Based
Studio.App.PropertyEnum.AlgorithmAgnostic,,Algorithm Agnostic,Algorithm Agnostic
Studio.App.PropertyEnum.PerEdge,,Per Edge,Per Edge
Studio.App.PropertyEnum.PerIsland,,Per Island,Per Island
Studio.App.PropertyEnum.Precise,,Precise,Precise
Studio.App.PropertyEnum.Prompt,,Prompt,Prompt
Studio.App.PropertyEnum.Report,,Report,Report
