Key,Context,Source,en-us
Studio.FontSelection.FontWeightStatus.Procedural,"Displayed in properties panel when a font is created procedurally, e.g. `Bold (procedural)`.",%1 (procedural),%1 (procedural)
Studio.FontSelection.FontWeightStatus.Unavailable,"Displayed in properties panel when a font family doesn't contain a weight, e.g. `Thin (unavailable)`.",%1 (unavailable),%1 (unavailable)
Studio.FontSelection.Action.CopyID,Context menu item for copying a font family's asset ID to the clipboard,Copy ID,Copy ID
Studio.AssetImport.TextureFilePickerCaption,,Open Texture File,Open Texture File
Studio.AssetImport.ImportFilePickerCaption,,Open FBX or OBJ File,Open FBX or OBJ File
Studio.QtUI.Action.DoNotAskMeAgain,,Do not ask me again,Do not ask me again
Studio.App.CallStack.CallStack,Call Stack widgets,Call Stack,Call Stack
Studio.App.RemoteDebugger.Title,,Remote Debugging,Remote Debugging
Studio.App.IdeDoc.Publish,Roblox IDE Doc,Publish,Publish
Studio.App.IdeDoc.Saving,Roblox IDE Doc,Saving,Saving
Studio.App.GUAC.UserFriendlyFailedToFetch1,main,Failed to load settings with %s. Please restart Studio or contact support if the problem persists.,Failed to load settings with %s. Please restart Studio or contact support if the problem persists.
Studio.App.MainWindow.RobloxStudio,Main Window,Roblox Studio,Roblox Studio
Studio.App.MainWindow.UnableToConnect,Main Window,Unable to Connect,Unable to Connect
Studio.App.MainWindow.UploadingPlaceQuitSaveAuto,Main Window,Saving in progress. Studio will close automatically when complete.,Saving in progress. Studio will close automatically when complete.
Studio.App.MainWindow.UploadingPlaceQuitPublishAuto,Main Window,Publishing in progress. Studio will close automatically when complete.,Publishing in progress. Studio will close automatically when complete.
Studio.App.MainWindow.UploadingPlaceQuitSaveFailed,Main Window,Failed To Save. Please try again later.,Failed To Save. Please try again later.
Studio.App.MainWindow.UploadingPlaceQuitPublishFailed,Main Window,Failed To Publish. Please try again later.,Failed To Publish. Please try again later.
Studio.App.AudioPrivacyCheck.GrantPermissionUserFailure3,"Appears in output window when permission granting fails. %1 is replaced by universe id, %2 is replaced by assed id and %3 is replaced by user id.",Failed to grant the Universe %1 permission to use asset %2. Your User ID %3 is not authorized to grant asset permissions.,Failed to grant the Universe %1 permission to use asset %2. Your User ID %3 is not authorized to grant asset permissions.
Studio.App.MainWindow.Version1,Main Window,Version %1,Version %1
