Key,Context,Source,en-us
Studio.App.FileType.RobloxAllFiles,,All Supported Files,All Supported Files
Studio.App.FileType.RobloxPlaceFiles,,Roblox Place Files,Roblox Place Files
Studio.App.FileType.RobloxXMLPlaceFiles,,Roblox XML Place Files,Roblox XML Place Files
Studio.App.FileType.RobloxAllPlaceFiles,,All Roblox Place Files,All Roblox Place Files
Studio.App.FileType.RobloxProjectFiles,,Roblox Project Files,Roblox Project Files
Studio.App.FileType.RobloxInternalProjectFiles,,Roblox Internal Project Files,Roblox Internal Project Files
Studio.App.FileType.RobloxWorkspaceFiles,,Roblox Workspace Files,Roblox Workspace Files
Studio.App.FileType.AnimationFiles,,Animation Files,Animation Files
Studio.App.FileType.ObjModelFiles,,Object Model Files,Object Model Files
Studio.App.FileType.ScriptFiles,,Script Files,Script Files
Studio.App.FileType.LocalizationTableCSV,,LocalizationTable CSV,LocalizationTable CSV
Studio.App.FileType.RobloxLuaScriptFiles,,Roblox Lua Scripts,Roblox Lua Scripts
Studio.App.FileType.RobloxLuauAndLuaScriptFiles,,Roblox Luau and Lua Scripts,Roblox Luau and Lua Scripts
Studio.App.FileType.RobloxModelFiles,,Roblox Model Files,Roblox Model Files
Studio.App.FileType.RobloxXMLModelFiles,,Roblox XML Model Files,Roblox XML Model Files
Studio.App.FileType.RobloxAllModelFiles,,All Roblox Model Files,All Roblox Model Files
Studio.App.FileType.AllFiles,,All Files,All Files
Studio.App.FileType.AudioFiles,,Audio Files,Audio Files
Studio.App.FileType.MeshFiles,,Mesh Files,Mesh Files
Studio.App.FileType.JSONFiles,,JSON Files,JSON Files
Studio.App.FileType.Images,,Images,Images
Studio.App.FileType.VideoFiles,,Video Files,Video Files
