Key,Context,Example,Source,en-us
Studio.ReflectionMetadata.ReflectionMetadata.AnalyticsServiceApiKey,,,Set ApiKey,Set ApiKey
Studio.ReflectionMetadata.ReflectionMetadata.Animation,,,"Represents a linked animation object, containing keyframes and poses.","Represents a linked animation object, containing keyframes and poses."
Studio.ReflectionMetadata.ReflectionMetadata.AnimationController,,,Allows animations to be played on joints of the parent object.,Allows animations to be played on joints of the parent object.
Studio.ReflectionMetadata.ReflectionMetadata.AnimationTrack,,,Returned by a call to LoadAnimation. Controls the playback of an animation on a Humanoid.,Returned by a call to LoadAnimation. Controls the playback of an animation on a Humanoid.
Studio.ReflectionMetadata.ReflectionMetadata.ArcHandles,,,A 3D GUI object to represent draggable arc handles,A 3D GUI object to represent draggable arc handles
Studio.ReflectionMetadata.ReflectionMetadata.AssetService,,,A service used to set and get information about assets stored on the Roblox website.,A service used to set and get information about assets stored on the Roblox website.
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceGetAssetVersions,,,"Given a placeID, this function will return a table with the version info of the place. An optional arg of page number can be used to page through all revisions (a single page may hold about 50 revisions).","Given a placeID, this function will return a table with the version info of the place. An optional arg of page number can be used to page through all revisions (a single page may hold about 50 revisions)."
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceGetCreatorAssetID,,,"Given a creationID, this function will return the asset that created the creationID. If no other asset created the given creationID, 0 is returned.","Given a creationID, this function will return the asset that created the creationID. If no other asset created the given creationID, 0 is returned."
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceGetPlacePermissions,,,"Given a placeID, this function will return a table with the permissions of the place. Useful for determining what kind of permissions a particular user may have for a place.","Given a placeID, this function will return a table with the permissions of the place. Useful for determining what kind of permissions a particular user may have for a place."
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceRevertAsset,,,"Reverts a given place id to the version number provided. Returns true if successful on reverting, false otherwise.","Reverts a given place id to the version number provided. Returns true if successful on reverting, false otherwise."
