Key,Context,Example,Source,en-us,ko,ru,zh-cn
Studio.App.AddImageDialog.ChooseFile,,,Choose File,Choose File,파일 선택,Выберите файл,选择文件
Studio.App.AddImageDialog.ChooseImageUpload,,,Choose image to upload,Choose image to upload,업로드할 이미지 선택,Выберите изображение для загрузки,选择要上传的图片
Studio.App.AddImageDialog.CreateAssetName,,,Creating asset name...,Creating asset name...,애셋 이름 생성 중...,Создание имени ресурса...,正在创建资源名称...
Studio.App.AddImageDialog.FileDoesNotExist,,,File does not exist,File does not exist,파일이 없어요,Файл не существует,文件不存在
Studio.App.AddImageDialog.Image,,,Image:,Image:,이미지:,Изображение:,图片:
Studio.App.AddImageDialog.ImageFileRequired,,,Image file is required,Image file is required,이미지 파일은 필수 항목이에요,Требуется файл изображения,需要图片文件
Studio.App.AddImageDialog.Name,,,Name:,Name:,이름:,Имя:,名称:
Studio.App.AutoSaveDialog.ConfirmAutoSaveDelete,,,Confirm Auto-Save Delete,Confirm Auto-Save Delete,자동 저장 삭제 확인,Подтвердите удаление автоматически сохраненных файлов,确认删除自动保存
Studio.App.AutoSaveDialog.DeleteAllAutoSaves1,,,Do you want to delete all auto-save files?  There are %1 file(s).,Do you want to delete all auto-save files?  There are %1 file(s).,자동 저장 파일을 모두 삭제할까요?  파일 %1개가 있습니다.,Удалить все автоматически сохраненные файлы? Будет удалено файлов: %1.,确定要删除所有自动保存的文件吗? 一共有 %1 个文件。
Studio.App.AutoSave.AutoSaveRecovery,,,Auto-Save Recovery,Auto-Save Recovery,자동 저장 복구,Восстановление автоматически сохраненных файлов,自动保存恢复
Studio.App.AutocompleteMenu.MoreChildrenItemTextFmt1,,,%1 more children...,%1 more children...,추가 하위 아이템 %1개...,Еще 1% детей...,还有 %1 个子集...
Studio.App.AutocompleteTooltip.FunctionNumberLabelTextFmt2,,,%1 of %2,%1 of %2,%1/%2,%1 из %2,%1/%2
Studio.App.BetaFeatures.BetaFeatures,,,Beta Features,Beta Features,베타 기능,Бета-функционал,Beta功能
Studio.App.BetaFeatures.CloudLoadFailedFmt1,,,Failed to load beta features from cloud: %1,Failed to load beta features from cloud: %1,클라우드에서 베타 기능을 불러오지 못했어요. %1,Не удалось загрузить бета-функционал из облака: %1,从云端加载 Beta 功能失败: %1
