File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
ApplicationConfig.zip,9e7221ad4d25d7348de5f887cade14dd,411,400
BuiltInPlugins.zip,3c59e53640385a888d65393b6dbed163,38761506,48984071
BuiltInStandalonePlugins.zip,b462b5be1ca10d9fb8df25fa3a8e16a1,5613899,7125029
Plugins.zip,b4b04085aaf099cec525e5368992fbf5,964224,2137536
Qml.zip,4377ceffa9c701ab550c0ef8c88f96d7,3055570,8203065
StudioFonts.zip,6df04925b4a61fdf50c06ff827eb369a,105391316,132630629
WebView2.zip,446a4a553ff9042a627c5f38768e596a,81240,158648
WebView2RuntimeInstaller.zip,e42a6697bf05466d4dba26c8fe476d2e,1486447,1589080
RobloxStudio.zip,a1de483b8946bc82c6c5249b94a9ac95,73098566,134672208
Libraries.zip,8d5c59c59b384fcbdde5feb31531e514,7268326,18051360
LibrariesQt5.zip,21526dd7f89a92672ba6bfb9f3bdb9d8,13401878,32420112
content-avatar.zip,059804e18ccb653d26dfa10189826779,579808,1755009
content-configs.zip,2092f263c3f8e8d27b5d555893d3f838,45960,433102
content-fonts.zip,22fb392f0a96aadf0f07746a01a15da4,6057636,12453308
content-models.zip,6db8ca907c81a0973fbe69a3c6ebbe04,488738,1559324
content-qt_translations.zip,68c77aa0a773b457aeaeb589aa732240,570252,1917899
content-sky.zip,1d0390337d1a4a58e5514be1a9481ad6,2448711,4304365
content-sounds.zip,cd77e0e77d698260809f8ae8b3993740,373629,393784
shaders.zip,c8223c1027d270bd2d613763a65efe45,3531164,22197995
ssl.zip,f44a904db475e6b654c0fe539ac59ec2,128775,224921
content-textures2.zip,c3c2b1586fe33f391083b5d3767a9309,9337294,10310071
content-textures3.zip,7ad5a15cb63aca299d9dd35cd6c9a50f,28516580,46537508
content-studio_svg_textures.zip,922069177724c85d3816eeaaccebfc27,3697705,3070859
content-terrain.zip,834036d8093b692d6f51fc92001656f9,31003769,42671481
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
content-api-docs.zip,0d162370988fa3c4d96307870fbc5b8a,421908,4101149
extracontent-scripts.zip,77058f5fdfbdf3fa38168785614c9292,2987994,9232391
extracontent-luapackages.zip,5520b3c7f6046ce89a7f0f6075c32067,16142859,28638989
extracontent-translations.zip,db19dccfa464be943538064d61e23688,269850,941833
extracontent-models.zip,e7cb0097373e50c334b445610410511e,6497518,6549138
extracontent-textures.zip,5021d03be744373cc1a181cd8b31e200,10745762,10851962
redist.zip,c9622ecfbec2c14d30f390909c563124,1372275,3196216
