Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
CoreScripts.Ads.Label.Teleporting,,,Teleporting...,Teleportiere ...,Teleporting...,Teletransportando...,Teletransportando...,Téléportation...,Berteleportasi...,Teletrasportando...,テレポート中...,텔레포트 중...,Teleportando...,Teleportando...,Телепортация...,กำลังเทเลพอร์ต...,传送中...,正在傳送……,传送中...,Teleportowanie...,Đang dịch chuyển...,Işınlanıyor...,انتقال فوري...
Corescripts.AvatarContextMenu.FriendRequestPending,,,Friend Request Pending,Freundschaftsanfrage ausstehend,Friend Request Pending,Solicitud de amistad pendiente,Solicitud de amistad pendiente,Demande d'ami en attente,Permintaan Teman Pending,Richiesta di amicizia in sospeso,友達リクエスト中,친구 요청 대기 중,Pedido de amizade pendente,Pedido de amizade pendente,Запрос о дружбе на рассмотрении,คำขอเป็นเพื่อนที่รอดำเนินการอยู่,好友邀请待处理,好友邀請待處理,好友邀请待处理,Oczekująca prośba o dodanie do znajomych,Yêu Cầu Kết Bạn Đang Chờ Chấp Nhận,Arkadaşlık İsteği Beklemede,طلب صداقة معلق
Corescripts.AvatarContextMenu.AddFriend,,,Add Friend,Freund hinzufügen,Add Friend,Añadir amistad,Añadir amistad,Ajouter un ami,Tambahkan Teman,Aggiungi amico,友達を追加,친구 추가,Adicionar amigo,Adicionar amigo,Добавить друга,เพิ่มเพื่อน,添加好友,新增好友,添加好友,Dodaj znajomego,Thêm Bạn Bè,Arkadaş Ekle,إضافة صديق
Corescripts.AvatarContextMenu.Friends,,,Friends,Freunde,Friends,Amistades,Amistades,Amis,Teman,Amici,友達,친구,Amizades,Amizades,Друзья,เพื่อน,好友,好友,好友,Znajomi,Bạn Bè,Arkadaşsın,الأصدقاء
Corescripts.AvatarContextMenu.AcceptFriendRequest,,,Accept Friend Request,Freundschaftsanfrage annehmen,Accept Friend Request,Aceptar solicitud de amistad,Aceptar solicitud de amistad,Accepter l'invitation d'un ami,Terima Permintaan Teman,Accetta richiesta di amicizia,友達リクエストを承認する,친구 요청 수락,Aceitar pedido de amizade,Aceitar pedido de amizade,Принять запрос дружбы,ยอมรับคำขอเป็นเพื่อน,接受好友邀请,接受好友邀請,接受好友邀请,Zaakceptuj prośbę o dodanie do znajomych,Chấp Nhận Yêu Cầu Kết Bạn,Arkadaşlık İsteğini Kabul Et,قبول طلب الصداقة
Corescripts.AvatarContextMenu.Chat,,,Chat,Chat,Chat,Chat,Chat,Chat,Chat,Chat,チャット,채팅,Chat,Chat,Чат,แชท,聊天,聊天,聊天,Czat,Cuộc Trò Chuyện,Sohbet Et,دردشة
Corescripts.AvatarContextMenu.ChatDisabled,,,Chat Disabled,Chat deaktiviert,Chat Disabled,Chat desactivado,Chat desactivado,Chat désactivé,Chat Dinonaktifkan,Chat disattivata,チャットを無効にしました,채팅 비활성화,Chat desabilitado,Chat desabilitado,Чат отключён,ปิดใช้งานการแชท,聊天已停用,聊天停用中,聊天已停用,Czat wyłączony,Cuộc Trò Chuyện Bị Vô Hiệu Hóa,Sohbet Devre Dışı,الدردشة معطلة
Corescripts.AvatarContextMenu.Wave,,,Wave,Winken,Wave,Saludar,Saludar,Saluer,Lambaikan Tangan,Onda,手を振って挨拶,손 흔들기,Acenar,Acenar,Волна,ทักทาย,招手,揮手,招手,Pomachaj,Sóng,El Salla,تلويح
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,,,Access Items?,Auf Artikel zugreifen?,Access Items?,¿Acceder a los objetos?,¿Acceder a los objetos?,Accès aux articles ?,Akses Item?,Accedere agli oggetti?,アイテムにアクセスしますか？,아이템을 이용할까요?,Acessar itens?,Acessar itens?,Разрешить доступ к предметам?,ต้องการเข้าถึงไอเท็มหรือไม่?,访问道具？,存取道具？,访问道具？,Udzielić dostępu do przedmiotów?,Lấy vật phẩm?,Öğelere erişime izin verilsin mi?,الوصول إلى العناصر؟
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,,,{RBX_NAME} would like to access your avatar’s items,{RBX_NAME} möchte auf die Artikel deines Avatars zugreifen,{RBX_NAME} would like to access your avatar’s items,{RBX_NAME} quiere acceder a los objetos de tu avatar,{RBX_NAME} quiere acceder a los objetos de tu avatar,{RBX_NAME} aimerait accéder aux articles de ton avatar,{RBX_NAME} ingin mengakses item avatar kamu,{RBX_NAME} vorrebbe accedere agli oggetti del tuo avatar,{RBX_NAME} さんがあなたのアバターアイテムへのアクセスを希望しています,{RBX_NAME}에서 아바타 아이템을 이용하려고 해요,{RBX_NAME} quer acessar os itens de seu avatar,{RBX_NAME} quer acessar os itens de seu avatar,{RBX_NAME} запрашивает доступ к предметам аватара,{RBX_NAME} ต้องการเข้าถึงไอเท็มของอวาตาร์ของคุณ,{RBX_NAME} 想访问你的虚拟形象道具,{RBX_NAME} 想存取您的虛擬人偶的道具,{RBX_NAME} 想访问你的虚拟形象道具,{RBX_NAME} chce uzyskać dostęp do przedmiotów twojego awatara,{RBX_NAME} muốn lấy các vật phẩm avatar của bạn,"{RBX_NAME}, senin avatarının öğelerine erişmek istiyor",يريد المستخدم {RBX_NAME} الاطلاع على عناصر أفاتارك
